"Diet" "Genotype"
"F_01" "BL" "M"
"F_02" "BL" "G"
"F_03" "HL" "M"
"F_04" "HL" "G"
"F_05" "HL" "G"
"F_06" "HL" "M"
"F_07" "BL" "G"
"F_08" "BL" "M"
"F_09" "BL" "M"
"F_10" "BL" "G"
"F_11" "HL" "M"
"F_13" "HL" "G"
"F_14" "HL" "M"
"F_15" "BL" "G"
"F_16" "BL" "M"
"F_17" "BL" "M"
"F_18" "BL" "G"
"F_19" "HL" "M"
"F_20" "HL" "G"
"F_21" "HL" "G"
"F_22" "HL" "M"
"F_23" "BL" "G"
"F_24" "BL" "M"
"F_25" "BL" "M"
"F_26" "BL" "G"
"F_27" "HL" "M"
"F_28" "HL" "G"
"F_29" "HL" "G"
"F_30" "HL" "M"
"F_32" "BL" "M"
"F_33" "BL" "M"
"F_35" "HL" "M"
"F_36" "HL" "G"
"F_37" "HL" "G"
"F_38" "HL" "M"
"F_39" "BL" "G"
"F_40" "BL" "M"
"F_41" "BL" "M"
"F_42" "BL" "G"
"F_43" "HL" "M"
"F_44" "HL" "G"
"F_45" "BL" "M"
"F_46" "BL" "G"
"F_47" "HL" "M"
"F_48" "HL" "G"
"F_49" "HL" "G"
