"No_ordre" "No_Bague_droite" "Lignée" "Régime" "Lot" "PoidsVif_S9_g" "GrasAbdo_g" "Gras_arrière2cuisse_g" "Foie_g" "Cœur_g" "PectMajor_g" "plasma_AcUrique" "plasma_B.OH" "plasma_Urée" "plasma_Chol_total" "plasma_PPL" "plasma_TG" "plasma_T3" "plasma_T4" "plasma_Insuline" "foie_C14" "foie_C16" "foie_C16.1" "foie_C18" "foie_C18.1" "foie_C18.2" "foie_C18.3" "foie_C20" "foie_C20.1" "foie_C20.4" "foie_C20.5" "foie_C22.5" "foie_C22.6" "foie_AGS" "foie_AGMI" "foie_AGPI" "foie_n.6" "foie_n.3" "foie_n6ONn3" "foie_LCn3" "foie_PERC.lipid" "foie_glycogen" "foie_Lactate" "foie_PG"
"1" 1 3696 "M" "BL" "M-BL" 2185 43 8.39 42.1 14.4 87.9 114.8 1016.04 37.3 1486.41 2.61 702.32 2.441 20.886 123 0.47 24.3 2.49 19.99 25.46 15.66 0.77 0.18 0.22 7.42 0.75 0.71 1.58 44.94 28.17 26.89 23.08 3.81 6.06 3.04 3.35 419.61 5.18 844.41
"2" 2 3931 "G" "BL" "G-BL" 2593 104.7 15.48 51.8 12.7 105.24 112.44 344.87 32.31 1297.55 2.12 729.06 1.358 15.761 77 0.68 24.46 2.8 16.62 35.86 11.49 0.46 0.26 0.31 5.03 0.54 0.37 1.13 42.02 38.97 19.02 16.52 2.5 6.61 2.04 6.35 231.55 4.98 468.08
"3" 3 3459 "M" "HL" "M-HL" 2400 42.7 6.54 51.7 12.5 100.57 48.18 779.87 40.56 1030.97 1.84 644.39 2.077 18.698 235 0.55 23.52 1.71 19.34 31.53 14.36 0.73 0.11 0.38 5.47 0.39 0.41 1.51 43.52 33.62 22.87 19.83 3.04 6.52 2.31 6.29 454.33 5.12 913.77
"4" 4 4081 "G" "HL" "G-HL" 2102 40.6 4.65 35.4 15.5 85.65 77.44 452.41 25.06 1329.13 2.01 598.83 2.193 20.787 53 0.37 20.03 0.62 24.75 19.2 20 0.97 0.18 0.31 9.74 0.52 0.62 2.68 45.33 20.13 34.53 29.74 4.79 6.21 3.82 3.29 246.37 5.75 498.49
"5" 5 3905 "G" "HL" "G-HL" 2631 68.6 3.88 43.9 16 111.12 73.92 317.94 25.45 1149.28 1.8 536.72 2.075 18.693 93 0.28 18.07 0.55 25.1 19.29 20.99 0.94 0.17 0.26 10.2 0.4 0.62 3.14 43.62 20.1 36.29 31.19 5.1 6.12 4.16 5.35 237.72 7.19 482.64
"6" 6 3560 "M" "HL" "M-HL" 2116 27.9 4.63 38 16.5 89.83 43 551.46 43.72 1030.8 1.59 636.98 1.685 18.057 121 0.26 16.75 0.59 19.94 22.61 24.44 1.7 0.16 0.38 9.19 0.53 0.66 2.78 37.11 23.58 39.3 33.63 5.67 5.93 3.97 4.92 247.09 6.83 501.01
"7" 7 3864 "G" "BL" "G-BL" 2458 93.7 11.98 52.5 15.3 112.79 95.93 340.39 26.16 1235.32 2.13 1197.42 1.993 17.544 153 0.67 26.83 3.39 14.31 41.41 8.42 0.44 0.11 0.32 2.95 0.29 0.18 0.68 41.92 45.12 12.96 11.37 1.59 7.15 1.15 5.82 344.49 3.77 692.75
"8" 8 3634 "M" "BL" "M-BL" 2495 22.4 3.89 53.9 14.3 110.97 63.07 847.81 29.85 1075.45 1.68 300.71 3.387 15.014 154 0.15 27.22 2.69 18.86 34.03 9.74 0.38 0.13 0.34 5.58 0.38 0.33 0.18 46.36 37.06 16.59 15.32 1.27 12.06 0.89 5.99 407.34 6.47 821.16
"9" 9 3711 "M" "BL" "M-BL" 2414 30.1 4.88 53.8 13.8 105.2 61.93 857.79 35.69 1312.92 2.21 581.22 3.465 11.951 63 0.77 26.91 2.52 20.72 25.41 12.75 0.42 0.19 0.4 7.06 0.56 0.42 1.87 48.59 28.33 23.08 19.81 3.27 6.06 2.85 4.02 388.25 7.52 784.02
"10" 10 4054 "G" "BL" "G-BL" 2273 52.4 9.29 51.6 14.8 86.38 93.16 648.29 23.79 1405.48 2.13 723.29 2.424 13.867 101 0.52 24.54 2.59 21.13 24.99 15.5 0.45 0.19 0.34 7.86 0.53 0.38 1.99 46.38 27.92 26.71 23.36 3.35 6.97 2.9 2.4 421.42 6.41 849.24
"11" 11 3635 "M" "HL" "M-HL" 2328 26.9 2.33 43 13.5 102.6 56.58 611.38 24.39 1139.91 1.75 493.38 2.775 11.748 108 0.47 21.44 1.62 22.93 22.06 17.93 0.83 0.3 0.31 9.04 0.38 0.55 2.14 45.14 23.99 30.87 26.97 3.9 6.92 3.07 4 250.16 8.93 509.25
"12" 13 3971 "G" "HL" "G-HL" 1915 61.8 9.1 32.6 9.9 82.96 102.72 504.84 46.24 1152.42 1.92 594.54 1.68 14.257 109 0.36 19.06 0.52 22.69 16.46 24.21 1.13 0.19 0.31 10.76 0.68 0.95 2.68 42.3 17.29 40.41 34.97 5.44 6.43 4.31 4.12 319.33 2.59 641.25
