"F_01" "F_02" "F_03" "F_04" "F_05" "F_06" "F_07" "F_08" "F_09" "F_10" "F_11" "F_13" "F_14" "F_15" "F_16" "F_17" "F_18" "F_19" "F_20" "F_21" "F_22" "F_23" "F_24" "F_25" "F_26" "F_27" "F_28" "F_29" "F_30" "F_32" "F_33" "F_35" "F_36" "F_37" "F_38" "F_39" "F_40" "F_41" "F_42" "F_43" "F_44" "F_45" "F_46" "F_47" "F_48" "F_49"
"A_87_P078001" 2.36807776185666 1.51660848241852 1.97177344719337 0.0033512094996393 0.352671618318471 1.33602046619055 2.17170106351679 2.67871582167806 2.68043715572809 2.06820093908971 1.82178057838928 -0.80083179847627 1.48404294692898 1.76288348246563 2.52236096115653 2.36691554966067 -0.589678735849262 1.06244769780643 1.53794083295136 1.37851162325373 1.92427267383676 -0.481944157908958 2.2873749302032 2.8606127591509 -0.450226927741144 0.372061528362005 1.02652948275482 0.662292897620178 0.781567330397042 1.58368972159944 1.70072351769761 0.362231140104191 -0.977038851556689 -0.36174920024968 0.823553279162297 2.30313606430212 2.20892236652806 2.82213297742888 1.74244639697616 1.74624340775422 0.66318009957201 2.84086072527332 1.12404126394337 1.14025788577195 -0.520616255632542 -1.30710938017582
"A_87_P201828" 3.68025830786984 3.50439606373683 3.25323293853803 1.9915877601838 2.44523773705454 2.71466692705743 3.93769514056715 3.85028508315022 3.99060833463227 3.59116765024786 3.02294936594931 1.89023212685569 3.76781118871441 3.48270265754273 4.04606656706453 3.57363005344969 3.85121082277863 2.84094241235262 3.10008342842969 2.93490497177811 1.13451966531111 3.74403098238121 3.40611866811935 3.87198676236911 4.16508860723517 2.89747322544711 2.59229381616111 1.72285285784005 2.43041945056214 2.89488190731973 3.8596340767532 3.0757533210588 2.22542011403402 1.61467074297984 2.48578090621016 3.71019868460342 4.34959825161406 3.25202608165721 3.99593826791125 2.37447861694107 2.04427026692752 4.05471141034397 3.18645542046801 2.19426882042206 2.49752552511389 2.19987498477502
"A_87_P172223" 0.788153049024997 1.6711601411899 0.714795011118161 0.0462230167606457 0.578783925792033 0.950479864156202 2.07517968660659 1.32027835766827 1.97218814998233 2.03403632399942 1.64154602908752 0.206741421228532 1.23780186065885 1.81942775435818 1.87666380817666 0.811080411644658 1.42372209664409 0.339611229106604 0.472323239896062 0.0877956044950121 0.235448574161895 1.37246398730528 0.54766395929818 1.44126166720272 1.76387228679582 0.605895957747224 1.14022140723453 -0.0542022815899124 -0.26227328999399 0.679740725473257 0.949308036905089 0.133894355018487 -0.00773564877960631 -0.0467310503449916 0.429834501206924 1.64113796939285 1.18895724009013 0.756330919033137 1.68305531262689 -0.892420112800187 0.30134721746491 0.613159392551809 0.559427408614019 -0.696383783389578 0.0843921872903728 -0.842899038915271
"A_87_P080586" 3.95314539612064 4.18605304845178 3.49217365961083 0.727540581376939 0.420575682820274 0.732089373377249 2.40218489720678 2.47211637358686 2.83849693481422 2.67459971320583 1.3669853698727 -0.663328274726335 3.80430863136827 4.38678114245236 4.53811929842423 3.83826276051307 4.76045722258728 2.02587433424685 1.71858706485135 0.497499659470815 -1.55896729218821 2.80486214382897 1.84278054483575 2.49645345363491 2.32972880801567 -1.02262290896067 -2.01265530080603 -1.43935717847426 0.787092787326991 3.3127389234327 3.06603411840459 0.790260659602355 -0.0390998196889409 0.268452685856595 -0.456954888345084 1.82961082162788 2.89740154772341 0.177127687600666 2.16659314074457 -1.76832976507554 -2.53278703570829 3.9861414377395 3.53959099295985 -0.832483907183625 -1.42084312096005 -1.92132568587209
"T018558_G011376_ANKRD9_423469" 7.37323341217348 7.13821457015089 7.30328987443389 5.4073369400037 5.56509719489587 6.17517066902941 7.1085012762995 7.29927344525021 6.56377191817921 6.77137562495204 5.94988908317221 7.23707634394157 7.00980044294057 7.25641401274565 6.94940089092448 7.13549457041269 7.77522559617836 5.74950551039289 6.39765568045346 6.05492081247864 5.94673794800091 6.96215336813982 6.94526050292932 6.8629209966441 7.35507242888171 5.43393213698471 4.41190872916922 5.12037934595873 6.21230548195994 6.9679047848951 6.58169182364387 6.25041360573825 6.67397506235254 6.32952388426775 6.10377448378042 6.43214884232643 6.72232960585807 7.0017251657312 6.42632280032929 5.962840046076 5.01575065697902 6.90054906873469 6.18006310069465 5.27508984442611 5.25190808441511 5.46647505265652
"seq_RIGG10144" -1.40745859608097 -1.23147314394186 -1.71311885221184 -2.82932961231487 -2.31270956485798 -2.64828843608999 -1.4161041869732 -1.19382326913968 -1.23507300273295 -1.24100809950379 -2.00998408857262 -2.48804435744538 -1.443064532389 -0.730629131414776 -0.500344811903352 -1.19918792380917 -0.7294515405089 -2.14215238397305 -2.01099899894926 -2.69057268868176 -2.33289921270837 -1.23113605440842 -1.72363806251921 -1.19858146006538 -1.38635474457476 -2.55867580920088 -2.79480966873849 -2.25539434363166 -2.68341098880925 -1.50695998871988 -1.76553474636298 -2.43448526150707 -2.6642514105258 -2.49041686421416 -2.57016549879307 -1.38702312310925 -1.05562350622334 -2.09397614820901 -1.49544558299523 -2.64676778519463 -2.81966818349646 -1.46656779991893 -1.72068051057872 -2.63791138067011 -2.72296273476723 -2.77578484305673
"A_87_P009404" 5.28865519665734 4.38875680947269 3.64327899631198 2.17587733599589 3.22872004130846 4.52269584821204 4.27791878949603 3.73521268570662 4.24747439146967 4.26971577092544 4.76582735259882 3.71329046169444 4.77843439002628 4.70023986658938 4.57152585672129 3.64176570574166 5.5109371373028 2.88087194558136 4.63667968068655 1.8073549220576 2.27211369974466 4.23802944721336 3.04043276180959 3.76784387994646 5.33490594888557 2.9938652138279 2.32035223996182 0.551960578425943 2.14904997106508 4.15221776423495 3.41998711013035 2.00912138996855 2.79212040836244 3.80612272692998 4.5009684685178 4.96592006133537 3.46596458847653 5.30854401956002 5.66550804568755 1.51340923969612 3.31023299886862 3.97923714117882 3.9065927950004 -1.1602098466091 3.77652080268682 0.191048293008066
"A_87_P292738" 0.327778184168489 1.02856915219677 0.207892851641333 -0.598445730084778 -0.0148732764815307 0.445687712119028 1.3678917196529 0.989658055778541 1.50593942449595 1.42457286142565 1.15726677857137 -0.399143852856445 0.668356750279425 1.2024619363026 1.4096345454661 0.399449513809065 0.876180297147577 -0.0511787239255632 -0.135860882625169 -0.530829063587678 -0.374800368170121 0.779059712697464 0.185093879913472 0.786311647544412 1.02903770489431 0.234873313331693 0.482724306790418 -0.650253960972876 -0.635316700608206 0.0320821797037762 0.446966925451823 -0.761575061510207 -0.604379954548397 -0.717302266574984 -0.108059745857451 0.8736974168863 0.530850461415419 0.227951946678348 1.0634790568244 -1.41193826061996 -0.303653036492792 -0.0531706590213368 -0.31858206700737 -1.27085391029309 -0.616340315233438 -1.5224984137745
"lip_ACSBG2" 8.58265201155458 7.76785856199778 7.68499167531601 6.8862227626679 6.45783649793227 7.44836229545257 8.2157711155988 9.00637846521112 8.55083153265489 8.56126302385517 8.42408381122396 7.36687861913289 7.40509342978134 7.8883113623305 8.60707687736607 7.96918681272883 8.52426581367316 7.68121021770934 7.53693126971743 7.11946152004973 6.90247011064349 8.47779846941415 8.47012538211625 8.91852434506697 8.87329179544403 6.84954175720961 7.36104231672773 6.7608868956417 6.92247315147278 8.14430653797229 8.04950730599173 7.5985198418921 7.1570070074907 6.51949865477774 7.87792657637186 8.28554044911221 8.47470276526133 8.51203739700019 8.59912595986464 6.64661837694249 7.75362702838038 8.15278723174441 8.21612372806197 6.28381251926211 7.89806872067102 6.82375382048275
"T034913_G004703_LOC769138_769138" -0.00980317503035799 -1.96313470624814 -2.35845397091248 -3.07576750761796 -3.35940280030603 -3.1199094637352 -2.00962870119778 0.0305883198334236 -0.496487312898585 -0.648527629498622 -1.93198157657135 -2.81609855512958 -2.39134949584484 -0.393833655226141 0.452512204697506 -1.10842245988599 -0.704683635359958 -3.01946986419822 -2.83129297671436 -3.07549019958426 -2.99128278289889 -0.589327693282558 -1.56171950020908 0.0108719055635689 -1.06215647606257 -3.0393016501073 -1.9565607387351 -2.91328836680667 -3.39612903672878 -1.83432196965787 -1.5666306779489 -2.52814436872131 -2.93218461577243 -2.63764281739733 -2.30223229354644 -1.64120661136078 0.520236787390566 -1.24752140646247 0.899215780251827 -2.60369906330274 -2.02058087742245 -2.10837616104479 -0.554030641169264 -2.95311361236916 -2.45447389884133 -2.97887670843425
"A_87_P122623" -0.802478201782852 -0.79762837607283 -2.91593573521153 -3.1632303488683 -3.0837683576926 -2.70487196445635 -0.78356062171793 0.076265894228067 0.639027657757895 -0.368596154388646 -2.29238381927335 -3.16123404117827 -3.25569439648728 -0.0262156524237991 -1.62521009072701 -2.29604946306176 -0.592515895152792 -3.54303182025524 -2.58131472370601 -2.76553474636298 -2.00877020962773 -0.961296470669516 -1.35493927790724 -1.35727920608444 -0.674599713205834 -2.76512668666831 -2.68945666859226 -1.73271612116485 -3.61185772778422 -2.43295940727611 -0.963566370852432 -1.88007182414552 -3.18934245526955 -2.44798159789376 -2.89947312404603 -1.33792857358108 0.300378522758555 -1.02623154157318 0.312914351322373 -3.02819689183065 -2.50932806288431 -2.11864449649862 -1.42849975908541 -2.77946552488413 -2.8425443505199 -2.70470174499525
