"Poids" "Diam" "L" "a" "b" "Glucose" "Fructose" "Saccharose" "Citrate" "Malate" "Variete" "Maturite"
"371p05" 48 36.925 64.15 -6.78 42.43 1.28 0.52 2.48 36.8 3.95 "37" "Faible"
"371p06" 40.2 36.925 58.15 -13.2 39.15 1.3 0.47 1.71 37.92 4.98 "37" "Faible"
"371p07" 42 35.425 60.99 -6.71 36.84 2.69 0.91 5.46 38.45 4.57 "37" "Faible"
"371p08" 47.4 37.463 56.41 5.43 34.76 2.28 0.74 4.27 34.88 5.33 "37" "Faible"
"371p09" 35.2 33.862 59.7 -12.31 40.29 1.17 0.5 1.72 36.07 4.15 "37" "Faible"
"371p11" 60.5 41.6 58.76 -9.25 35.81 1.4 0.57 4.01 32.73 4.56 "37" "Faible"
"371p12" 66.7 40.775 63.77 -8.83 38.51 1.19 0.46 3.33 33.5 4.94 "37" "Faible"
"371p13" 44.1 35.287 54.28 0.78 35.56 1.34 0.51 2.29 44.38 5.24 "37" "Faible"
"371p14" 44.5 38.1 55.53 13.88 34.01 1.24 0.52 2.82 34.21 4.6 "37" "Faible"
"371p15" 43.6 37.588 58.68 15.04 37.12 1.21 0.58 1.74 34.73 4.04 "37" "Faible"
"371p16" 48.8 38 56.52 5.49 33.66 1.53 0.72 2.03 40.83 3.99 "37" "Faible"
"371p17" 52.4 38.825 63.08 9.64 41.51 1.36 0.59 2.89 25.46 3.83 "37" "Faible"
"371p18" 36.1 34.263 57.28 -7.25 35.5 1.39 0.56 2.39 36.13 4.51 "37" "Faible"
"371p19" 36.4 34.625 54.95 3.58 33.77 1.42 0.61 2.07 43.04 5.25 "37" "Faible"
"371p21" 54.3 40.05 64.14 -8.62 41.46 1.13 0.58 2.47 36.61 4.46 "37" "Faible"
"371p22" 51.6 38.35 62.38 -9.73 37.47 0.93 0.44 2.44 34.85 4.96 "37" "Faible"
"371p23" 41.9 36.288 60.76 -11.41 37.49 1.09 0.57 1.78 35.75 4.44 "37" "Faible"
"371p24" 41.1 36.475 60.52 -6.04 39.1 1.24 0.67 2.02 31.03 4.13 "37" "Faible"
"371p25" 43.1 37.975 59.43 -9.74 37.36 1.35 0.6 1.32 35.98 3.27 "37" "Faible"
"371p26" 47.7 37.575 61.5 -8.73 36.91 1.25 0.65 2.01 37.56 3.74 "37" "Faible"
"371p27" 51.8 37.538 61.28 -10.04 38.75 1.24 0.66 2.19 37.51 4.81 "37" "Faible"
"371p28" 36.5 35.237 59.2 -9.73 38.7 1.38 0.71 1.45 37.86 3.97 "37" "Faible"
"371p29" 40.2 36.562 55.12 20.74 36.19 1.71 0.72 2.45 32.55 4.59 "37" "Faible"
"371p31" 44.6 36.487 50.92 21.19 32.3 1.71 0.67 2.61 35.31 4.44 "37" "Faible"
"371p32" 43.9 37.7 62.15 1.88 40.93 1.92 0.87 2.32 34.06 4.16 "37" "Faible"
"371p33" 54.1 40.888 62.82 -8.96 39.11 0.99 0.6 2.15 35.78 4.62 "37" "Faible"
"371p34" 42 35.525 62.97 -11.59 38.38 1.05 0.59 1.97 40.84 4.53 "37" "Faible"
"371p35" 36 34.763 62.45 -2.19 40.53 1.55 0.87 1.64 33.72 3.58 "37" "Faible"
"371p36" 42.7 37.512 60.01 -11.38 37.2 1.11 0.67 5.33 39.68 3.88 "37" "Faible"
"371p37" 55.2 39.038 67.37 -6.9 38.29 1.12 0.63 2.41 38.65 4.63 "37" "Faible"
"371p38" 45.2 36.562 60.63 -6.11 37.63 1.21 0.75 1.99 38.65 5.36 "37" "Faible"
"371p39" 45.6 37.463 61.84 -11.36 36.75 1.22 0.7 1.51 40.62 4.31 "37" "Faible"
"372p01" 55.9 40.7 61.27 -3.38 40.84 2.05 1.03 2.04 26.61 5.23 "37" "Moyenne"
"372p02" 62.8 41.313 64.59 -0.63 46.81 1.95 1.05 2.75 29.27 5.52 "37" "Moyenne"
"372p03" 66.9 42.813 57.19 15.93 36.06 2.18 1.18 3.38 21.89 6.12 "37" "Moyenne"
"372p04" 54.2 39.825 59.62 12.09 40.22 2.43 1.38 2.45 26.97 5.38 "37" "Moyenne"
"372p05" 56.5 40.388 63.08 -5.94 43.75 2.66 1.28 1.27 23.49 4.79 "37" "Moyenne"
"372p06" 56.7 40.275 61.39 8.62 40.02 2.17 1.15 2.62 24.96 6.11 "37" "Moyenne"
"372p07" 52.8 40.587 68.17 -3.09 46.42 1.98 1.08 2.25 34.38 4.78 "37" "Moyenne"
"372p08" 54.5 39.625 60.97 5.76 40.39 2.02 1.1 2.75 26.54 5.67 "37" "Moyenne"
