"Weight" "Diam" "L" "a" "b" "Variety" "Maturity"
"371p05" 0.048 0.036925 64.15 -6.78 42.43 "A" "1"
"371p06" 0.0402 0.036925 58.15 -13.2 39.15 "A" "1"
"371p07" 0.042 0.035425 60.99 -6.71 36.84 "A" "1"
"371p08" 0.0474 0.037463 56.41 5.43 34.76 "A" "1"
"371p09" 0.0352 0.033862 59.7 -12.31 40.29 "A" "1"
"371p11" 0.0605 0.0416 58.76 -9.25 35.81 "A" "1"
"371p12" 0.0667 0.040775 63.77 -8.83 38.51 "A" "1"
"371p13" 0.0441 0.035287 54.28 0.78 35.56 "A" "1"
"371p14" 0.0445 0.0381 55.53 13.88 34.01 "A" "1"
"371p15" 0.0436 0.037588 58.68 15.04 37.12 "A" "1"
"371p16" 0.0488 0.038 56.52 5.49 33.66 "A" "1"
"371p17" 0.0524 0.038825 63.08 9.64 41.51 "A" "1"
"371p18" 0.0361 0.034263 57.28 -7.25 35.5 "A" "1"
"371p19" 0.0364 0.034625 54.95 3.58 33.77 "A" "1"
"371p21" 0.0543 0.04005 64.14 -8.62 41.46 "A" "1"
"371p22" 0.0516 0.03835 62.38 -9.73 37.47 "A" "1"
"371p23" 0.0419 0.036288 60.76 -11.41 37.49 "A" "1"
"371p24" 0.0411 0.036475 60.52 -6.04 39.1 "A" "1"
"371p25" 0.0431 0.037975 59.43 -9.74 37.36 "A" "1"
"371p26" 0.0477 0.037575 61.5 -8.73 36.91 "A" "1"
"371p27" 0.0518 0.037538 61.28 -10.04 38.75 "A" "1"
"371p28" 0.0365 0.035237 59.2 -9.73 38.7 "A" "1"
"371p29" 0.0402 0.036562 55.12 20.74 36.19 "A" "1"
"371p31" 0.0446 0.036487 50.92 21.19 32.3 "A" "1"
"371p32" 0.0439 0.0377 62.15 1.88 40.93 "A" "1"
"371p33" 0.0541 0.040888 62.82 -8.96 39.11 "A" "1"
"371p34" 0.042 0.035525 62.97 -11.59 38.38 "A" "1"
"371p35" 0.036 0.034763 62.45 -2.19 40.53 "A" "1"
"371p36" 0.0427 0.037512 60.01 -11.38 37.2 "A" "1"
"371p37" 0.0552 0.039038 67.37 -6.9 38.29 "A" "1"
"371p38" 0.0452 0.036562 60.63 -6.11 37.63 "A" "1"
"371p39" 0.0456 0.037463 61.84 -11.36 36.75 "A" "1"
"372p01" 0.0559 0.0407 61.27 -3.38 40.84 "A" "2"
"372p02" 0.0628 0.041313 64.59 -0.63 46.81 "A" "2"
"372p03" 0.0669 0.042813 57.19 15.93 36.06 "A" "2"
"372p04" 0.0542 0.039825 59.62 12.09 40.22 "A" "2"
"372p05" 0.0565 0.040388 63.08 -5.94 43.75 "A" "2"
"372p06" 0.0567 0.040275 61.39 8.62 40.02 "A" "2"
"372p07" 0.0528 0.040587 68.17 -3.09 46.42 "A" "2"
"372p08" 0.0545 0.039625 60.97 5.76 40.39 "A" "2"
"372p09" 0.0467 0.037363 59.19 10.02 37.74 "A" "2"
"372p10" 0.0523 0.037838 67.83 9.91 48.19 "A" "2"
"372p11" 0.0509 0.039325 54.41 21.75 34.71 "A" "2"
"372p12" 0.052 0.03935 63.09 5.79 44.58 "A" "2"
"372p14" 0.0705 0.042775 61.9 7.22 42.71 "A" "2"
"372p15" 0.0525 0.039 61.81 16.33 38.42 "A" "2"
"372p16" 0.0569 0.04165 54.87 28.58 32.38 "A" "2"
"372p17" 0.0661 0.044038 61.08 9.13 38.52 "A" "2"
"372p18" 0.0617 0.04165 61.77 7.39 42.63 "A" "2"
"372p19" 0.0684 0.042612 62.38 11.86 41.09 "A" "2"
"372p20" 0.057 0.040438 41.15 41.62 22.25 "A" "2"
"372p21" 0.049 0.038525 59.03 19.93 40.29 "A" "2"
"372p22" 0.0526 0.040113 59.03 22.09 35.7 "A" "2"
"372p23" 0.0523 0.040563 63.94 12.09 40.06 "A" "2"
"372p24" 0.0545 0.04005 64.42 12.6 45.15 "A" "2"
"372p25" 0.065 0.04255 64.77 5.61 44.48 "A" "2"
"372p26" 0.0599 0.0413 59.32 7.44 38.01 "A" "2"
"372p28" 0.0595 0.0413 55.81 18.87 31.01 "A" "2"
"372p29" 0.0611 0.040375 54.8 23.16 35.1 "A" "2"
"372p30" 0.0627 0.04175 58.05 20.51 37.18 "A" "2"
"372p31" 0.0568 0.0391 62.25 11.43 43.8 "A" "2"
"372p32" 0.0616 0.041838 54.48 15.87 35.97 "A" "2"
"372p33" 0.0502 0.038575 62.11 11.72 38.77 "A" "2"
"372p34" 0.0599 0.04185 64.08 4.83 41.61 "A" "2"
"372p35" 0.06 0.042763 55.79 17.91 34.68 "A" "2"
"372p36" 0.0626 0.042188 47.37 14.67 24.09 "A" "2"
"372p37" 0.0539 0.039325 61.79 9.75 42.57 "A" "2"
"372p38" 0.0616 0.041212 66.52 9.4 49.03 "A" "2"
"372p39" 0.0574 0.039875 53.4 16.51 30.65 "A" "2"
"372p40" 0.0562 0.039363 63.13 9.62 43.57 "A" "2"
"373p01" 0.0685 0.04255 50.04 33.88 31.22 "A" "3"
"373p02" 0.0634 0.043312 59.92 21.27 40.88 "A" "3"
"373p03" 0.0735 0.045637 54.8 27.17 36.69 "A" "3"
"373p04" 0.0603 0.042925 56.28 23.81 37.33 "A" "3"
"373p05" 0.0474 0.0391 45.52 34.98 23.65 "A" "3"
"373p06" 0.0592 0.041963 61.74 8.88 43.5 "A" "3"
"373p07" 0.0593 0.040925 44.69 37.49 27.77 "A" "3"
"373p08" 0.0623 0.044338 40.75 32.5 20.48 "A" "3"
"373p09" 0.0659 0.044362 57.86 15.66 38.85 "A" "3"
"373p10" 0.0628 0.04335 59.27 19.65 40.34 "A" "3"
"373p11" 0.063 0.043225 68.91 2.23 47.88 "A" "3"
"373p12" 0.0646 0.042463 64.12 10.89 42.8 "A" "3"
"373p13" 0.0557 0.040225 57.81 16.87 37.47 "A" "3"
"373p14" 0.0682 0.044013 69.45 7.13 46.94 "A" "3"
"373p15" 0.0665 0.044562 63.28 21.29 43.13 "A" "3"
"373p19" 0.0662 0.043663 62.16 16.23 38.11 "A" "3"
"373p20" 0.0653 0.044762 69.69 8.4 47.49 "A" "3"
"373p21" 0.0587 0.041625 44.92 35.5 25.79 "A" "3"
"373p22" 0.0657 0.043763 69.01 10.51 47.16 "A" "3"
"373p23" 0.061 0.0415 59.51 14.45 38.13 "A" "3"
"373p24" 0.069 0.0448 59.15 22.45 39 "A" "3"
"373p25" 0.0573 0.040087 54.46 21.71 37.5 "A" "3"
"373p26" 0.0731 0.046438 57.1 22.17 34.76 "A" "3"
"373p27" 0.0518 0.039825 61.6 17.61 39.61 "A" "3"
"373p28" 0.0555 0.040425 59.72 25.25 41.92 "A" "3"
"373p29" 0.0585 0.0421 47.93 29.52 28.58 "A" "3"
"373p30" 0.0698 0.0433 63.99 13.04 46.07 "A" "3"
"373p31" 0.0722 0.045988 59.23 18.26 43.26 "A" "3"
"373p32" 0.0588 0.042338 39.93 16.62 20.64 "A" "3"
"373p33" 0.0573 0.042513 38.88 31.55 17.3 "A" "3"
"373p34" 0.0631 0.042688 61.35 18.71 41.52 "A" "3"
"373p35" 0.0627 0.04335 61.02 7.47 40 "A" "3"
"373p36" 0.0663 0.04335 56.46 25.81 35.83 "A" "3"
"373p37" 0.0644 0.0431 66.53 8.8 46.04 "A" "3"
"373p38" 0.0585 0.042225 54.58 34.36 37.36 "A" "3"
"373p39" 0.0721 0.043275 67.29 7.84 45.27 "A" "3"
"373p40" 0.0671 0.042912 55.74 24.37 36.99 "A" "3"
"bl1p01" 0.0514 0.0433 66.34 -3.6 35.72 "D" "1"
"bl1p02" 0.043 0.039 69.69 -6.23 37.2 "D" "1"
"bl1p03" 0.0507 0.041412 69.44 -6.15 41.45 "D" "1"
"bl1p04" 0.0603 0.0446 69.11 -6.09 42.95 "D" "1"
"bl1p05" 0.0508 0.041763 69.31 -6.21 41.91 "D" "1"
"bl1p06" 0.0663 0.047387 68.81 -5.78 35.53 "D" "1"
"bl1p07" 0.0443 0.03965 70.23 -3.39 38.29 "D" "1"
"bl1p08" 0.0624 0.04435 72.71 -4.88 40.87 "D" "1"
"bl1p09" 0.0555 0.04305 68.93 -4.66 40.83 "D" "1"
"bl1p10" 0.0602 0.043638 69.02 -6.42 40.54 "D" "1"
"bl1p11" 0.0568 0.043788 65.21 -4.84 34.31 "D" "1"
"bl1p12" 0.055 0.043987 69.83 -6.05 35.95 "D" "1"
"bl1p13" 0.0572 0.044312 71.76 -6.63 36.47 "D" "1"
"bl1p14" 0.0425 0.0404 70.23 -5.44 44.01 "D" "1"
"bl1p15" 0.0449 0.039238 71.57 -4.35 44.27 "D" "1"
"bl1p16" 0.0621 0.045163 70.31 -3.81 39.94 "D" "1"
"bl1p17" 0.0439 0.039738 66.58 -1.52 45.67 "D" "1"
"bl1p18" 0.0509 0.042987 65.1 -6.66 33.49 "D" "1"
"bl1p19" 0.0609 0.045088 71.18 -5.56 39.4 "D" "1"
"bl1p20" 0.0445 0.0402 70.84 -4.3 42.68 "D" "1"
"bl1p21" 0.0553 0.04425 71.95 -4.34 43.78 "D" "1"
"bl1p22" 0.0568 0.043675 68.38 -5.17 40.04 "D" "1"
"bl1p23" 0.0516 0.042688 70.15 -5.99 43.57 "D" "1"
"bl1p24" 0.0537 0.042487 70.05 -3.82 45.09 "D" "1"
"bl1p25" 0.0547 0.0434 70.34 -3.77 44.72 "D" "1"
"bl1p26" 0.0542 0.042425 70.68 -6.27 36.99 "D" "1"
"bl1p27" 0.0774 0.049987 70.99 -7.36 38.17 "D" "1"
"bl1p28" 0.0613 0.045338 70.3 -5.44 45.16 "D" "1"
"bl1p29" 0.0389 0.03815 70.79 -4.41 40.91 "D" "1"
"bl1p30" 0.0599 0.045363 69.76 -2.64 38.15 "D" "1"
"bl1p31" 0.0478 0.040825 70.53 -5.66 39.39 "D" "1"
"bl1p32" 0.0751 0.04965 70.86 -5.75 43.43 "D" "1"
"bl1p33" 0.0625 0.04605 67.36 -5.34 41.15 "D" "1"
"bl1p34" 0.0547 0.044525 69.13 -4.98 38.7 "D" "1"
