"GENOTYPE" "SEX" "SplitFat" "SplitMuscle" "LV23Fat" "LR23Fat" "LR23Muscle" "LR34Fat" "LR34Muscle" "LMP"
"1" "P50" "M" 11.125 69.315 14.13 13.96 58.24 14.835 56.16 81.77519701
"2" "P50" "F" 8.765 83.625 13.39 7.38 71.085 8.375 68.205 87.28147554
"3" "P0" "F" 16.51 74.135 20.405 15.005 60.78 17.3 56.845 79.08368042
"4" "P50" "F" 10.365 67.44 15.06 8.85 62.805 11.97 57.925 84.08324662
"5" "P50" "M" 16.985 73.67 24.84 16.215 61.05 20.33 54.17 76.1352657
"6" "P0" "M" 16.42 59.895 21.715 14.655 57.815 17.275 51.035 77.45037494
"7" "P0" "F" 11.35 77.795 16.335 10.695 64.635 12.585 58.905 81.95656352
"8" "P0" "M" 16.98 76.18 19.105 13.605 63.975 15.37 61.24 80.05721915
"9" "P0" "F" 20.485 73.06 22.06 15.59 66.67 18.43 63.165 77.18161266
"10" "P0" "M" 19.015 72.63 17.905 13.04 57.195 14.54 56.71 79.37694704
"11" "P0" "F" 10.81 71.165 11.725 8.22 60.685 8 58.445 84.94915254
"12" "P50" "F" 15.63 77.08 17.82 11.26 74.95 14.655 67.75 81.78855627
"13" "P50" "M" 17.53 70.015 17.195 12.845 65.56 15.065 62.005 80.01438332
"14" "P50" "M" 12.86 68.43 16.035 12.625 62.635 13.77 58.25 81.96632717
"15" "P0" "M" 14.36 65.795 17.22 10.595 59.535 11.66 59.565 82.1773674
"16" "P0" "F" 11.16 77.455 13.83 11.57 61.91 13.14 59.025 84.90617537
"17" "P0" "M" 15.735 75.96 18.9 12.34 66.785 14.725 63.735 82.0656045
"18" "P25" "F" 20.045 67.955 18.84 11.14 62.235 13.05 62.615 81.05352591
"19" "P25" "M" 19.395 71.21 21.23 18.975 57.43 22.195 57.12 77.27622932
"20" "P0" "M" 14.54 72.635 13.8 11.05 62.48 12.05 59.685 82.14153084
"21" "P0" "F" 13.32 69.915 14.565 9.145 63.17 10.425 62.16 82.58537607
"22" "P50" "F" 12.975 69.49 14.045 10.65 60.46 11.79 60.83 81.28863735
"23" "P0" "F" 17.11 75.1 15.62 13.92 66.19 15.295 65.025 80.74176776
"25" "P0" "F" 18.21 70.35 18.69 15.35 59.845 17.38 56.825 77.08308664
"26" "P50" "M" 14.065 64.92 14.51 14.455 56.27 16.745 55.89 80.73523337
"27" "P0" "F" 15.19 76.47 18.01 11.105 67.59 11.345 61.665 82.02426343
"28" "P25" "M" 12.315 80.96 15.29 10.4 70.15 12.035 69.395 82.83843636
"29" "P0" "F" 10.125 68.59 10.405 6.22 61.095 7.96 56.065 87.72287062
"30" "P0" "M" 15.29 73.01 17.76 13.195 65.815 15.63 61.5 79.7053624
"31" "P0" "F" 12.975 69.545 16.375 14.13 66.58 15.44 61.22 80.66153526
"32" "P0" "F" 11.85 74.5 18.515 13.15 61.355 15.54 60.825 80.96066829
"33" "P50" "F" 15.125 80.67 18.945 10.81 71.92 12.225 69.25 81.8023025
"34" "P25" "M" 14.87 63.015 13.355 10.04 59.01 10.805 56.245 80.60428032
"35" "P25" "M" 17.91 65.75 18.03 15.745 56.81 18.605 54.58 78.74565884
"36" "P0" "F" 14.805 74.06 17.225 12.615 58.365 12.68 59.22 81.2244898
"37" "P0" "M" 13.525 68.135 14.32 10.115 61.75 11.105 57.37 82.94221352
"38" "P50" "M" 15.535 68.595 15.15 12.9 57.01 13.935 53.13 81.83609494
"39" "P0" "F" 9.415 74.21 14.245 9.61 57.4 9.345 53.915 85.60680128
"40" "P0" "F" 17.395 70.82 15.415 10.425 64.135 12.255 58.32 82.66942149
"42" "P50" "F" 17.145 70.765 15.31 12.905 57.58 14.125 52.65 79.86685495
"43" "P25" "M" 14.985 71.035 17.27 10.985 58.785 10.81 57.665 83.93620877
"44" "P0" "M" 11.51 75.545 14.03 12.365 59 13.025 54.37 82.88443171
"45" "P50" "F" 13.35 65.47 13.205 10.65 53.305 10.455 55.495 82.4764735
"46" "P0" "F" 15.275 66.225 15.49 13.24 61.01 14.43 59.005 79.19239905
"47" "P0" "M" 19.45 69.605 22.25 18.82 52.145 18.205 51.52 74.85333888
"48" "P0" "M" 8.82 67.775 11.46 8.515 64.695 12.28 61.105 84.0329541
"49" "P0" "F" 13.6 76.955 16.355 9.835 62.705 10.32 64.775 84.4182262
"50" "P25" "M" 11.225 74.315 16.86 13.04 73.825 14.42 70.14 80.57556699
"51" "P50" "F" 11.37 79.855 15.33 10.23 64.575 13.235 64.225 82.72037361
"52" "P0" "F" 14.395 74.775 17.34 10.6 57.575 13.07 54.43 80.54968288
"53" "P0" "M" 23.08 66.625 28.055 24.26 46.935 25.3 44.43 70.20833333
"54" "P0" "F" 12.835 81.845 13.665 9.705 61.52 11.665 57.015 84.74895856
"55" "P50" "M" 15.2 68.215 16.23 11.32 57.97 11.115 56.31 82.99493414
"56" "P0" "M" 12.4 64.765 15.005 11.965 50.415 13.05 48 80.41461007
"57" "P50" "F" 12.36 78.185 11.64 9.37 65.05 9.965 60.375 87.26635945
"58" "P0" "M" 22.215 81.595 20.715 15.03 66.215 15.905 66.085 78.92118972
"59" "P0" "M" 14.515 64.9 15.65 12.91 59.345 14.12 57.94 80.3992273
