Sample No.	Label	x	Y	z gps	pHCaCl2	pHH2O	OC	Total N	CEC metson	Clay	Ca	Mg	K	Na	Al
1390	1	297528,122	2353955	45,64	5,55	6,29	10,118	1,155	7,02	14,8	5,606	0,041	0,233	0,035	0,054
1391	2	297502,012	2353954	44,4	5,61	5,92	17,834	1,602	8,25	16	6,783	0,064	0,269	0,035	0,05
1392	3	297475,929	2353954	42,84	5,76	6,35	12,036	1,387	7,47	15,5	6,265	0,07	0,322	0,029	0,05
1393	4	297450,136	2353954	41,32	6,86	7,57	10,206	1,268	6,51	16,1	3,054	0,053	0,177	0,027	0,05
1394	5	297424,358	2353954	39,93	5,85	6,35	11,468	1,319	6,94	14,8	6,607	0,051	0,147	0,034	0,05
1395	6	297540,839	2353926	44,12	4,98	5,57	12,228	1,319	6,74	15	4,351	0,039	0,263	0,041	0,05
1396	7	297514,477	2353927	43,1	5,64	6,09	9,604	1,094	6,38	14,9	4,973	0,051	0,277	0,039	0,05
1397	8	297489,007	2353926	41,94	5,62	6,11	12,027	1,352	7,23	16,5	5,781	0,066	0,224	0,034	0,05
1398	9	297462,946	2353927	41,01	5,43	6	10,533	1,193	6,31	15,2	4,686	0,057	0,194	0,029	0,05
1399	10	297437,242	2353927	40	5,61	5,96	10,148	1,195	6,52	14,6	5,614	0,045	0,196	0,063	0,05
1400	11	297411,347	2353927	39,14	6,18	6,58	10,198	1,256	6,29	14,8	5,5	0,056	0,095	0,052	0,05
1401	12	297385,366	2353927	37,96	5,34	6,09	13,165	1,421	6,95	16,6	5,648	0,06	0,204	0,056	0,05
1402	13	297360,236	2353927	37,22	5,28	5,95	14,478	1,65	6,95	17,9	5,047	0,092	0,239	0,054	0,05
1403	14	297333,523	2353927	36,61	4,88	5,37	15,629	1,774	7,7	21,4	4,701	0,114	0,2	0,049	0,05
1404	15	297307,593	2353927	36,57	5,46	6,03	15,27	1,752	7,7	19,9	5,528	0,122	0,225	0,084	0,05
1405	16	297554,234	2353900	43,5	5,04	5,59	11,848	1,294	6,68	15,6	4,138	0,049	0,345	0,03	0,05
1406	17	297527,761	2353900	42,42	5,66	6,13	9,802	1,079	6,09	14,6	4,255	0,039	0,268	0,063	0,05
1407	18	297501,984	2353900	40,9	5,87	6,36	12,889	1,392	6,73	15,2	5,568	0,06	0,342	0,062	0,05
1408	19	297476,01	2353900	40,04	5,99	6,26	10,53	1,199	6,92	15,7	6,747	0,049	0,102	0,03	0,05
1409	20	297450,264	2353900	38,81	6,01	6,52	10,18	1,207	6,7	14,6	6,404	0,054	0,133	0,038	0,05
1410	21	297424,453	2353900	37,97	5,91	6,32	10,869	1,228	6,32	14,3	5,798	0,05	0,2	0,034	0,05
1411	22	297398,595	2353900	37,05	5,85	6,24	12,257	1,362	7,05	15,9	5,784	0,087	0,174	0,075	0,05
1412	23	297372,607	2353900	36,22	5,21	5,71	15,348	1,665	7,08	18,4	4,948	0,102	0,141	0,083	0,05
1413	24	297346,757	2353900	35,41	5,21	5,66	15,249	1,636	7,07	19,6	4,543	0,094	0,208	0,073	0,05
1414	25	297321,076	2353900	34,97	5,45	6,02	17,231	1,885	8,28	22,2	5,662	0,108	0,212	0,051	0,05
1415	26	297298,678	2353901	34,87	6,35	6,7	16,538	1,947	10,6	28,2	9,664	0,153	0,148	0,122	0,05
1416	27	297308,661	2353873	34,07	5,92	6,6	17,915	2,087	10,77	27,8	8,61	0,146	0,188	0,065	0,05
