"CGA" "Cafeine" "Fat" "Trigonelline" "DM" "Localisation" "PC1" "PC2" "PC3" "PC4" "PC5"
"V2" 7.9308925 1.0662341 12.8580256 0.7581199 90.8732834 1 -40.4219837565613 6.58067471918844 8.51137601774896 21.6113375240423 1.01342070992409
"V3" 7.6995125 1.1530044 12.4704638 0.7608271 90.4887695 1 -6.30490865516999 16.5736711495875 -0.333750901209001 8.07004373508056 0.308424818968838
"V4" 7.9261389 1.0834132 12.7914581 0.8023662 89.974617 6 10.7551059309235 -3.32474554300446 3.97529626870218 -0.148625944458547 3.61588413716963
"V5" 8.1232853 1.3900521 13.4207811 0.8113176 91.8358231 4 -4.98795874641684 -0.724483492322017 -34.5040877198652 10.1727034156251 -5.31894473460711
"V6" 7.3146029 1.1802186 12.8195286 0.8306411 90.5551453 1 6.32567633679659 7.74116137297682 1.7541260716168 21.5795568836041 6.1109275853529
"V7" 8.0300665 1.0366493 12.3060341 0.8545167 89.8593445 6 5.65982730532651 -15.718885645796 2.97172127452459 -0.0514760893255597 -0.38207340517579
"V8" 7.9253325 1.2224445 15.7032375 0.9477825 90.8745346 7 -10.3276187223407 2.43628123288207 -19.4928568486219 3.24400584515334 13.5208449738737
"V9" 7.7013626 1.2489032 12.7757387 0.7966911 91.3021774 4 -15.2038562496605 -21.181705545673 -22.6289059403231 8.56136894816252 -4.10396690498498
"V10" 7.7979264 1.2715914 13.3929119 0.793783 90.8495941 4 0.333965127317128 -13.5010252175196 -14.0607507664917 9.48001503086137 3.62317042345676
"V11" 7.9800835 1.2572701 15.6556864 0.8691767 90.3635864 7 -29.636439686347 7.71563878828371 -6.59460857814778 -2.03455474219788 11.8509026778266
"V12" 7.8660331 1.1661149 12.5091228 0.8469052 89.7630234 6 39.0259667749234 -29.7643271748752 -1.16380221286132 -9.39493060653161 -0.862453129152064
"V13" 8.0493212 1.0386842 12.6293917 0.7461894 89.923233 6 31.1516920855327 -16.3977584795615 3.00030368774584 6.06328527523934 5.50446835256646
"V14" 7.4568496 1.0923227 11.9601116 0.766785 89.696846 6 17.9366800862637 -7.39028558291687 5.28185834898928 -9.62256746953479 0.00637817135425702
"V15" 8.0750284 1.1882861 13.1847382 0.8274633 90.2594757 2 -1.1187032967607 -9.95186648144798 -2.69786880267914 -5.05344849076291 -2.75555324478736
"V16" 7.877737 1.1328887 11.8851871 0.7991188 89.8434143 3 30.767200894491 -10.6806611087337 5.31996584755102 -1.18720349452552 -2.41672554273276
"V17" 8.2742167 1.0443515 12.6195822 0.8130215 89.8979568 6 -11.9201931778269 19.7161350040439 9.89018255658969 1.41801413136624 -0.301977367721437
"V18" 8.3432894 1.0006514 14.0908651 0.8967828 90.2555695 2 -0.0280123932395702 -3.26736473907935 -1.16516398066303 -8.47464659279648 2.10142142946107
"V19" 7.7303267 1.1007497 14.264349 0.8589123 89.7292099 6 18.4361655163263 6.47837025137854 -5.1089912290636 -14.2322685201731 5.54826727715786
"V20" 8.1854448 1.0813624 14.5568533 0.8204936 90.5741196 7 -96.522173085786 4.45012935604751 -11.2716126654324 -25.1876129878597 -7.63430981396314
"V21" 7.7158155 1.0802619 12.0438385 0.8794994 89.6817169 6 21.2652680223463 -0.668810727079515 5.23622462469557 -10.124061029727 -5.82826561875251
"V22" 8.0731354 1.1792095 13.3274689 0.7746101 90.1243973 6 -16.895362483358 9.60292433784316 5.55860797780628 -0.197939527579119 2.14563066619343
"V23" 7.912169 0.9694898 12.3448801 0.7535973 89.9199142 6 -13.3963304561307 5.23989360323622 8.93593443644784 -2.78938533677861 -1.62974424755802
"V24" 8.0754805 0.9423965 9.2308025 0.8711586 89.8794327 5 44.0487150153428 -2.51325071230621 -2.97529161785866 -6.16941184875536 -21.1572651457797
"V25" 7.7100787 1.073549 12.1140661 0.7749435 90.5897446 6 -15.6815580198217 14.8713466378419 -8.93013451129701 1.40606275372968 -8.79095783986299
"V26" 7.8539519 1.118853 13.4370966 0.8600136 90.0411987 5 -20.2788576080961 -3.60014739527915 3.10927043497487 -2.51173862550535 1.01005260478126
"V27" 7.9477305 1.2980983 12.5222301 0.7058495 90.1138382 3 -1.38938287466677 -15.0472983842286 3.8212970096122 1.58644819236877 -2.92669842854433
"V28" 8.0066414 1.1576643 12.414813 0.7955762 90.4192886 2 -31.8237337143758 8.6576620792615 3.98116009581046 7.17906136897137 -3.76162323668635
"V29" 8.0875282 0.9904357 14.5700588 0.9577329 89.8172455 6 16.3488747538972 17.4721594129524 -0.489521877818793 -13.4943168694089 4.69388897702591
"V30" 7.2511444 1.187937 13.3498354 0.8202333 90.7604904 1 -5.63458248800931 14.3814096555827 -5.36453817249363 16.6207854469708 5.48407829542867
"V31" 7.3596816 1.2859943 10.1033802 0.6909397 90.1675415 5 7.81900720850734 -7.85721664518539 -2.26442292291516 4.18829317313576 -16.3820510102617
"V32" 8.1535645 1.1247518 14.0423613 0.8117667 89.9993896 3 -20.0090943824596 -7.22909182920649 7.70634652028486 0.453373981688695 4.21851757752433
"V33" 8.4484921 1.2646699 15.8971605 0.8942946 90.3017197 7 -65.9777222070011 -40.0153735386041 6.86072746730761 10.7644126279291 12.40198922456
"V34" 7.9551086 1.1551547 12.2624311 0.8058174 90.4437256 2 15.347875810095 1.43533243515121 -3.65017389262945 0.195902376099863 -4.75343134998676
"V35" 7.5829668 1.1328901 9.6125946 0.6757228 90.3765793 5 -3.47186295171093 14.3245700495586 -7.26248441212511 -4.92068306055587 -24.646341163146
