"X" "Y" "Carbone" "CE"
"ech1" 405800 3755200 0.842 2.4
"ech2" 406000 3755200 1.284 1.84
"ech3" 406200 3755200 0.931 1.96
"ech4" 406400 3755200 0.992 2
"ech5" 406600 3755200 0.919 2
"ech6" 406800 3755200 0.712 2.1
"ech7" 407000 3755200 1.221 2.3
"ech8" 407200 3755200 1.049 2.1
"ech9" 407400 3755200 1.218 2
"ech10" 407600 3755200 1.213 4.93
"ech11" 407800 3755200 1.027 1.88
"ech12" 408000 3755200 0.934 1.92
"ech13" 408200 3755200 0.82 1.84
"ech14" 408400 3755200 0.833 1.92
"ech15" 408600 3755200 0.928 1.96
"ech16" 408800 3755200 1.077 2.24
"ech17" 408800 3755000 0.928 1.84
"ech18" 408800 3754800 1.217 0.47
"ech19" 408800 3754600 0.92 0.69
"ech20" 408800 3754400 0.456 0.31
"ech21" 408600 3754400 0.748 0.25
"ech22" 408600 3754600 1.042 0.96
"ech23" 408600 3754800 1.104 1.96
"ech24" 408600 3755000 0.933 1.72
"ech25" 408400 3755000 0.713 2.2
"ech26" 408400 3754800 0.666 0.54
"ech27" 408400 3754600 0.533 0.86
"ech28" 408400 3754400 0.813 1.56
"ech29" 408200 3754400 0.691 0.18
"ech30" 408200 3754600 0.734 1.88
"ech31" 408200 3754800 0.872 0.56
"ech32" 408200 3755000 0.986 2.1
"ech33" 408000 3755000 0.673 1.36
"ech34" 408000 3754800 0.891 0.66
"ech35" 408000 3754600 0.682 0.42
"ech36" 408000 3754400 0.66 0.13
"ech37" 407800 3754400 0.725 0.19
"ech38" 407800 3754600 0.915 1
"ech39" 407800 3754800 0.73 1.88
"ech40" 407800 3755000 2.387 2.2
"ech41" 407600 3755000 2.306 0.8
"ech42" 407600 3754800 0.968 1.52
"ech43" 407600 3754600 0.979 1.8
"ech44" 407600 3754400 0.497 0.33
"ech45" 407600 3754200 0.648 0.25
"ech46" 407800 3754200 0.415 0.14
"ech47" 408000 3754200 0.696 0.44
"ech48" 408200 3754200 0.805 2.1
"ech49" 408400 3754200 0.645 0.14
"ech50" 408600 3754200 0.8 0.13
"ech51" 408800 3754200 0.815 0.12
"ech52" 408800 3754000 1.31 2.31
"ech53" 408600 3754000 0.565 0.28
"ech54" 408400 3754000 0.386 0.27
"ech55" 408200 3754000 0.246 0.22
"ech56" 408000 3754000 0.831 0.16
"ech57" 407800 3754000 0.775 0.33
"ech58" 407600 3754000 0.818 0.17
"ech59" 407400 3754000 0.653 0.11
"ech60" 407400 3754200 0.482 0.1
"ech61" 407400 3754400 0.941 0.37
"ech62" 407400 3754600 0.96 1.72
"ech63" 407400 3754800 0.725 2
"ech64" 407400 3755000 1.241 1.9
"ech65" 406600 3755000 0.588 1.18
"ech66" 406600 3754800 0.98 0.92
"ech67" 406600 3754600 0.648 0.44
"ech68" 406600 3754400 0.582 0.13
"ech69" 406800 3754400 0.938 0.1
"ech70" 407000 3754400 0.765 0.26
"ech71" 407200 3754400 0.623 0.2
"ech72" 407200 3754200 0.435 0.16
"ech73" 407000 3754200 0.403 0.14
"ech74" 406800 3754200 0.664 0.16
"ech75" 406600 3754200 0.569 2.22
"ech76" 406600 3754000 0.272 0.14
"ech77" 406800 3754000 0.569 0.29
"ech78" 407000 3754000 0.608 0.17
"ech79" 407200 3754000 0.379 0.08
"ech80" 407200 3753800 0.698 0.17
"ech81" 407400 3753800 0.32 0.8
"ech82" 407600 3753800 0.677 0.14
"ech83" 407800 3753800 0.302 0.14
"ech84" 408000 3753800 0.287 0.12
"ech85" 408200 3753800 0.14 0.156
"ech86" 408400 3753800 0.286 0.13
"ech87" 408600 3753800 0.485 0.26
"ech88" 408800 3753800 0.344 0.21
"ech89" 408800 3753600 0.497 0.12
"ech90" 408600 3753600 0.504 0.31
"ech91" 408400 3753600 0.84 0.29
"ech92" 408200 3753600 0.123 0.084
"ech93" 408000 3753600 0.272 0.136
"ech94" 407800 3753600 0.197 0.78
"ech95" 407600 3753600 0.455 0.14
"ech96" 407400 3753600 0.298 0.126
"ech97" 407200 3753600 0.228 0.22
"ech98" 407000 3753600 0.877 0.78
"ech99" 406800 3753600 0.791 1.96
"ech100" 406600 3753600 0.624 0.23
"ech101" 406600 3753800 0.289 0.82
"ech102" 406800 3753800 0.594 0.14
"ech103" 407000 3753800 0.233 0.24
"ech104" 406400 3755000 0.789 1.6
"ech105" 406400 3754800 0.899 2
"ech106" 406400 3754600 0.759 2.24
"ech107" 406400 3754400 0.675 0.152
"ech108" 406400 3754200 0.547 2.31
"ech109" 406400 3754000 0.35 0.29
"ech110" 406400 3753800 0.662 0.96
"ech111" 406400 3753600 0.43 0.16
"ech112" 406200 3753600 0.144 0.14
"ech113" 406200 3753800 0.378 0.82
"ech114" 406200 3754000 0.406 1.16
"ech115" 406200 3754200 0.368 0.114
"ech116" 406200 3754400 0.665 0.3
"ech117" 406200 3754600 0.981 0.98
"ech118" 406200 3754800 0.807 0.49
"ech119" 406200 3755000 1.413 1.96
"ech120" 406000 3755000 1.571 2.2
"ech121" 406000 3754800 0.941 0.22
"ech122" 406000 3754600 0.567 0.36
"ech123" 406000 3754400 0.64 0.36
"ech124" 406000 3754200 0.44 0.176
"ech125" 406000 3754000 0.576 0.104
"ech126" 406000 3753800 0.263 0.326
"ech127" 406000 3753600 0.317 0.074
"ech128" 405800 3753600 0.295 0.1
"ech129" 405800 3753800 0.23 0.088
"ech130" 405800 3754000 0.326 0.22
"ech131" 405800 3754200 0.516 0.22
"ech132" 405800 3754400 0.342 0.24
"ech133" 405800 3754600 0.988 1.56
"ech134" 405800 3754800 0.851 1.84
"ech135" 405800 3755000 0.689 2.3
"ech136" 406800 3755000 0.554 1.48
"ech137" 407000 3755000 0.555 1.82
"ech138" 407200 3755000 1.028 1.8
"ech139" 407200 3754800 0.775 1.08
"ech140" 407000 3754800 0.246 0.7
"ech141" 406800 3754800 0.596 1.18
