"Area" "Mean" "StdDev" "Mode" "Min" "Max" "Perim." "WIDTH" "HEIGHT" "Major" "Minor" "Angle" "Circ." "Feret" "IntDen" "Median" "Skew" "Kurt" "RawIntDen" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Sigma" "Theta" "Width" "A" "Bgrd" "Intens" "E" "Image"
"168" 125 17992.32 18119.76 65504 5312 65504 52.43 12 15 14.13 11.26 74.59 0.57 16.16 2249040 9792 1.81 1.98 2249040 68.2 12 1.26 0.8 0.83 55.81 0.11 5613.7 0.98 3656.69 1785854.19 "Bacterie" "Img1"
"135" 38 15863.58 16419.31 5776 5312 65504 25.21 8 8 7.81 6.19 116.54 0.75 8.94 602816 8112 1.89 2.35 602816 153.43 7.16 1.26 0.79 0.78 66.53 0.21 2789.14 0.86 4124.97 417129.73 "Bacterie" "Img1"
"133" 132 18734.3 18707.02 65504 5328 65504 53.36 12 15 15.45 10.88 79.07 0.58 16.64 2472928 10496 1.67 1.45 2472928 57.26 12 1.42 0.7 0.83 38.21 0.14 5683.94 0.85 2553.28 1868989.28 "Bacterie" "Img1"
"129" 160 21650.7 20354.59 65504 5344 65504 60.08 14 17 16.41 12.41 66.13 0.56 18.6 3464112 10832 1.27 0.16 3464112 53.75 13.91 1.32 0.76 0.81 83.02 1.45 7811.39 0.82 -6039.66 3838217.41 "Bacterie" "Img1"
"113" 25 14529.28 12038.7 5488 5488 47472 22.38 6 7 6.02 5.28 71.57 0.63 7.81 363232 8848 1.37 0.72 363232 50.19 6 1.14 0.88 0.76 93.01 0.92 2762.43 0.7 3830.68 271791.37 "Bacterie" "Img1"
"182" 22 8669.82 4126.28 5312 5312 18256 24.49 3 11 11.55 2.42 83.01 0.46 11.4 190736 7392 1.21 0.07 190736 74.74 3 4.76 0.21 0.79 98.89 0.06 4159.52 1.16 6483.85 980777.17 "Bacterie" "Img1"
"191" 124 18150.19 18045.65 65504 5472 65504 53.84 14 15 13.84 11.41 78.46 0.54 15.52 2250624 10080 1.77 1.9 2250624 104.93 12.74 1.21 0.82 0.81 57.88 0.96 8019.53 1.47 3757.5 3611322.21 "Bacterie" "Img1"
"159" 129 18707.35 18332.3 65504 5312 65504 55.84 12 16 14.68 11.19 79.17 0.52 16.76 2413248 10064 1.66 1.43 2413248 107.35 12 1.31 0.76 0.8 37.9 0.1 5860.02 0.95 2495.22 1957136.64 "Bacterie" "Img1"
"162" 24 14921.33 13080.14 5536 5536 54544 27.8 6 8 6.64 4.6 96.56 0.39 8.54 358112 7952 1.59 1.77 358112 110.56 5.88 1.44 0.69 0.65 85.28 0.24 2712.93 0.96 3923.98 292840.45 "Bacterie" "Img1"
"124" 70 18110.17 17977.42 65504 5344 65504 34.87 10 11 10.36 8.6 63.4 0.72 11.7 1267712 10192 1.82 1.93 1267712 70.02 9.17 1.2 0.83 0.83 82.08 0.15 3600.75 0.78 5379.79 734799.25 "Bacterie" "Img1"
"127" 44 15247.27 15476.59 5360 5360 65504 30.28 8 9 7.57 7.4 52.73 0.6 9.43 670880 8592 1.97 2.67 670880 57.99 8 1.02 0.98 0.78 79.38 1.32 2840.43 0.8 4764.04 418724.13 "Bacterie" "Img1"
"134" 83 16090.41 17648.79 65504 5344 65504 48.77 10 15 12.38 8.54 77.28 0.44 15.23 1335504 8496 2.08 2.95 1335504 66.8 10 1.45 0.69 0.7 75.22 0.01 3560.87 0.85 5091.52 742165.69 "Bacterie" "Img1"
"111" 121 16725.55 17819.6 65504 5328 65504 58.08 13 15 13.81 11.16 88.89 0.45 15.62 2023792 8880 1.91 2.26 2023792 140.19 13 1.24 0.81 0.76 72.34 0.09 4218.99 0.7 4806.83 1022699.52 "Bacterie" "Img1"
"184" 9 8995.56 2947.4 5392 5392 13872 10.49 3 4 3.92 2.92 110.3 1 4.47 80960 8224 0.55 -0.9 80960 116.57 3 1.34 0.75 0.86 278.91 1.2 3183.36 1.18 3007.36 94461.97 "Bacterie" "Img1"
"104" 30 11824 9882.44 5312 5312 43376 23.56 7 6 7.16 5.34 174.31 0.68 8.6 354720 7152 1.74 2.08 354720 144.46 6 1.34 0.75 0.8 116.39 1 2393.63 0.52 4234.1 180216.47 "Bacterie" "Img1"
"161" 74 15647.57 16305.9 65504 5312 65504 40.28 12 10 11.74 8.03 33.68 0.57 14.21 1157920 9136 2.25 4.05 1157920 39.29 9.39 1.46 0.68 0.8 90.33 0.2 5054.14 0.95 5871.65 1435657.05 "Bacterie" "Img1"
"171" 42 15270.86 16930.88 6256 5392 65504 37.46 8 10 7.97 6.71 105.67 0.38 10.44 641376 7088 2.15 3.43 641376 73.3 8 1.19 0.84 0.69 67 0.45 3025.43 1 4598.48 543255.39 "Bacterie" "Img1"
"187" 125 17083.26 17803.2 65504 5312 65504 51.94 13 15 14.18 11.23 71.06 0.58 15.3 2135408 9488 1.97 2.65 2135408 101.31 12.85 1.26 0.79 0.81 86.29 0.94 6570.38 1.23 5619.14 2430734.8 "Bacterie" "Img1"
"188" 123 18857.11 18896.66 65504 5312 65504 50.18 12 16 14.19 11.04 68.22 0.61 16.03 2319424 9824 1.65 1.32 2319424 93.58 11.88 1.29 0.78 0.81 47.06 0.02 6366.51 1.25 3117.91 2323481.65 "Bacterie" "Img1"
"170" 136 17646.59 18328.14 65504 5312 65504 53.01 13 15 14.96 11.57 75.13 0.61 17.03 2399936 9200 1.8 1.8 2399936 40.24 12.66 1.29 0.77 0.83 26.71 0.48 6515.28 0.99 1809.62 2493601.06 "Bacterie" "Img1"
"105" 62 16674.58 16424.89 65504 5344 65504 30.04 9 11 10.01 7.89 59.45 0.86 11.4 1033824 9584 1.99 2.86 1033824 74.74 8.49 1.27 0.79 0.88 85.32 1.09 3155.47 0.55 5412.93 546189.49 "Bacterie" "Img1"
"130" 17 13883.29 9003.42 5424 5424 33632 16.14 5 6 5.42 4 64.54 0.82 6.4 236016 10384 1.12 0.13 236016 38.66 4.74 1.36 0.74 0.72 117.04 1.18 2736.35 0.83 3502.58 193754.5 "Bacterie" "Img1"
"158" 69 16249.28 17585.78 65504 5344 65504 36.87 9 13 11.11 7.91 72.36 0.64 13.6 1121200 8848 2.1 2.99 1121200 72.9 9 1.41 0.71 0.81 81.52 0.38 3794.61 0.95 5539.86 846040.31 "Bacterie" "Img1"
"120" 74 16978.38 17984.16 65504 5312 65504 35.46 10 11 10.79 8.74 72.04 0.74 12.53 1256400 9488 1.98 2.49 1256400 61.39 10 1.23 0.81 0.83 71.07 0.97 3968.99 0.77 4816.9 923216.81 "Bacterie" "Img1"
"107" 118 18106.31 18072.25 65504 5392 65504 50.43 12 15 14.36 10.46 68.89 0.58 16.16 2136544 10064 1.79 1.94 2136544 68.2 11.64 1.37 0.73 0.83 75.87 0.9 5001.07 0.59 4911.29 1399884.28 "Bacterie" "Img1"
"100" 139 15716.72 16710.51 65504 5328 65504 69.98 13 21 19.84 8.92 101.24 0.36 21.38 2184624 8384 2.1 3.19 2184624 79.22 12.07 2.22 0.45 0.68 79.79 0.88 3223.75 0.11 5232.98 589322.23 "Bacterie" "Img1"
"142" 121 18289.45 18333.32 65504 5456 65504 54.43 14 15 14.07 10.95 74.26 0.51 15.81 2213024 10000 1.76 1.73 2213024 55.3 12.86 1.28 0.78 0.77 68.71 0.19 5323.89 0.88 4482.01 1598917.84 "Bacterie" "Img1"
"147" 10 9166.4 3094.41 8880 5728 16240 11.07 4 3 3.97 3.21 0 1 4.47 91664 8880 1.13 0.77 91664 153.43 3 1.24 0.81 0.91 262.13 1.16 2877.09 0.91 3002.88 81980.11 "Bacterie" "Img1"
"144" 117 17028.65 17067.38 65504 5328 65504 57.84 11 17 15.61 9.54 83.47 0.44 17.12 1992352 9568 1.89 2.45 1992352 96.71 11 1.64 0.61 0.79 163.59 0.05 3833.9 0.9 9788.15 760241.86 "Bacterie" "Img1"
"118" 18 10830.22 4564.31 5360 5360 19408 16.14 5 6 5.95 3.85 67.1 0.87 6.4 194944 10416 0.47 -1.08 194944 38.66 4.43 1.54 0.65 0.78 215.01 0.15 3156.7 0.76 3252.44 130321.02 "Bacterie" "Img1"
"157" 118 19295.32 18400.87 65504 5328 65504 46.77 11 17 14.68 10.24 76.51 0.68 17.12 2276848 11136 1.61 1.37 2276848 96.71 11 1.43 0.7 0.83 52.12 0.69 6532.68 0.95 3346.81 2370757.2 "Bacterie" "Img1"
