    Forme   Couleur   Age     Sexe
1   I   H   Enfant    F
2   D   H   Enfant    F
3   G   J   Enfant    F
4   A   J   Enfant    F
5   B   J   Enfant    F
6   F   F   Enfant    F
7   F   K   Enfant    F
8   D   G   Enfant    F
9   D   G   Enfant    F
10  D   B   Enfant    F
11  D   B   Enfant    F
12  D   E   Enfant    F
13  G   H   Enfant    F
14  K   J   Enfant    F
15  I   I   Enfant    F
16  A   I   Enfant    F
17  H   H   Enfant    F
18  G   C   Enfant    F
19  G   A   Enfant    F
20  K   K   Enfant    F
21  F   A   Enfant    F
22  I   F   Enfant    F
23  D   G   Enfant    F
24  G   G   Enfant    F
25  G   A   Enfant    F
26  G   G   Enfant    F
27  G   G   Enfant    F
28  A   I   Enfant    F
29  H   J   Enfant    F
30  H   H   Enfant    F
31  K   K   Enfant    F
32  J   D   Enfant    F
33  E   H   Enfant    F
34  E   E   Enfant    F
35  E   E   Enfant    F
36  I   D   Enfant    F
37  K   K   Enfant    F
38  J   J   Enfant    F
39  C   D   Enfant    F
40  G   H   Enfant    F
41  K   J   Enfant    F
42  I   B   Enfant    F
43  C   J   Enfant    F
44  E   E   Enfant    F
45  E   B   Enfant    F
46  K   H   Enfant    F
47  J   K   Enfant    F
48  G   G   Enfant    F
49  I   I   Enfant    F
50  D   F   Enfant    F
51  I   D   Enfant    F
52  D   H   Enfant    F
53  B   B   Enfant    F
54  K   C   Enfant    F
55  B   J   Enfant    F
56  D   G   Enfant    F
57  I   H   Enfant    F
58  K   D   Enfant    F
59  I   G   Enfant    F
60  B   H   Enfant    F
61  K   H   Enfant    F
62  K   I   Enfant    F
63  G   B   Enfant    F
64  E   B   Enfant    F
65  A   H   Enfant    F
66  D   G   Enfant    F
67  B   H   Enfant    F
68  B   B   Enfant    F
69  K   F   Enfant    F
70  G   C   Enfant    F
71  E   E   Enfant    F
72  G   E   Enfant    F
73  F   H   Enfant    F
74  A   J   Enfant    F
75  G   K   Enfant    F
76  G   E   Enfant    F
77  C   H   Enfant    F
78  C   K   Enfant    F
79  D   D   Enfant    F
80  J   J   Enfant    F
81  A   J   Enfant    F
82  H   F   Enfant    F
83  J   H   Enfant    F
84  A   A   Enfant    F
