"parfu" "propi" "butyr" "tferm" "tsoup" "tgran" "tcoll" "tfond" "tcara" "ginte" "gacid" "gsale" "gsucr" "gpiqu" "gfrui" "gamer" "gcara" "bien.conforme" "plutot.bien.conforme" "conforme" "plutot.pas.conforme" "inacceptable" "conformit..moyenne" "nbre.notes" "..conf.." ".medium" ".conf" "Sbin" "Ster"
"1" 5.1 4 3.7 3.8 4.8 3.7 3.3 3 3.9 5.6 4.8 4.3 3.9 4.1 3.4 3.2 3.6 0 0 11.1 77.8 11.1 2 9 0 11.1 88.9 1 1
"2" 4.7 3.9 3.4 5.2 3 4 3.3 4 3.6 5.8 4.3 4.9 4 4.3 4.8 3.2 3.7 11.1 22.2 66.7 0 0 3.4 9 33.3 66.7 0 2 2
"3" 4.7 4.2 2.9 3.7 3.3 2.8 3.4 4.7 3.9 5.7 4.3 4.7 3.9 4.2 4.9 3 4 11.1 66.7 11.1 0 11.1 3.7 9 77.8 11.1 11.1 2 3
"4" 5.3 4.6 3.9 3 3.6 2.4 3.4 5.4 4.2 5.6 4.2 4.6 4 4.2 4.9 4.1 4 33.35 33.35 11.1 0 22.2 3.6 9 66.7 11.1 22.2 2 2
"5" 4.3 4 2.6 3.9 4.1 3.3 2.9 4.2 3.7 5.1 4 4.3 3.9 4 4.3 3.8 4 22.2 0 44.5 22.2 11.1 3 9 22.2 44.5 33.3 2 2
"6" 4.7 4 3.5 4.5 4.6 3.3 3.5 4.2 4.4 4.9 3.6 4.2 3.2 3.5 4 3.2 3.9 42.9 28.6 14.3 0 14.3 3.9 7 71.5 14.3 14.3 2 3
"7" 3.6 3.7 2.6 4.1 4.4 3.1 3.4 4.5 4.1 4.5 3.4 3.5 3.2 3 4.2 2.6 4.3 14.3 14.3 57.1 14.3 0 3.3 7 28.6 57.1 14.3 2 2
"8" 5.4 3.9 4 4.1 3.9 2.5 3.9 4.9 4 5 4.2 4.2 3.1 4.1 3.8 2.9 3.6 28.6 57.1 14.3 0 0 4.1 7 85.7 14.3 0 2 3
"9" 4 3.8 2.6 4.5 4 4.1 3.3 3.3 4.1 4.5 3.1 3.9 3.3 3.1 3.8 3.2 3.5 14.3 28.6 28.6 28.6 0 3.3 7 42.9 28.6 28.6 2 2
"10" 5 4.2 3.3 4.7 4.3 3.8 3.7 3.5 3.8 4.8 3.6 4 3 3.3 3.3 3.1 3.7 14.3 28.6 28.6 14.3 14.3 3.1 7 42.9 28.6 28.6 2 2
"11" 4.9 4.1 3.3 3.1 5.3 2.9 3.4 4.6 4.9 5.4 3.5 4.1 2.9 3.9 4.3 4 4.3 50 25 25 0 0 4.25 4 75 25 0 2 3
"12" 4.8 3.9 3.4 4.4 4 5.1 3.4 3.5 4 4.5 2.8 3.4 2.6 3 3.4 3.6 4 0 0 50 25 25 2.25 4 0 50 50 1 1
"13" 3.3 2.8 2.5 3.1 3.6 5.4 3 3.3 2.4 3.9 2.9 3.3 2.6 2.6 3.4 3.3 3.1 25 0 50 0 25 3 4 25 50 25 2 2
"14" 4.9 3 3.4 3.6 4.6 3.1 4.4 4 3.5 4.8 2.9 3.8 2.8 2.5 3.4 3.1 3.5 75 25 0 0 0 4.75 4 100 0 0 2 3
