"Sucree" "G.Appreciation" "Sexe"
"1" 3 3 "F"
"2" 6 7 "F"
"3" 5 3 "F"
"4" 7 8 "F"
"5" 7 7 "F"
"6" 6 6 "F"
"7" 8 9 "F"
"8" 3 2 "F"
"9" 8 9 "F"
"10" 6 5 "F"
"11" 8 4 "F"
"12" 9 9 "F"
"13" 7 8 "F"
"14" 6 3 "F"
"15" 4 2 "F"
"16" 5 7 "F"
"17" 3 6 "F"
"18" 4 4 "F"
"19" 8 7 "F"
"20" 3 5 "F"
"21" 5 8 "F"
"22" 8 9 "F"
"23" 6 5 "F"
"24" 6 8 "F"
"25" 4 4 "F"
"26" 2 6 "F"
"27" 5 2 "F"
"28" 8 1 "F"
"29" 4 6 "F"
"30" 5 3 "F"
"31" 2 1 "F"
"32" 7 10 "F"
"33" 8 1 "F"
"34" 2 1 "F"
"35" 7 9 "F"
"36" 8 6 "F"
"37" 4 8 "F"
"38" 3 4 "F"
"39" 9 9 "F"
"40" 3 5 "F"
"41" 7 5 "F"
"42" 8 9 "F"
"43" 3 3 "F"
"44" 2 2 "F"
"45" 4 2 "F"
"46" 8 9 "F"
"47" 7 1 "F"
"48" 8 9 "F"
"49" 6 6 "F"
"50" 4 5 "F"
"51" 3 6 "F"
"52" 7 4 "F"
"53" 5 5 "F"
"54" 7 7 "F"
"55" 6 3 "F"
"56" 8 7 "F"
"57" 7 6 "F"
"58" 5 3 "F"
"59" 4 5 "F"
"60" 6 6 "F"
"61" 6 8 "F"
"62" 6 2 "F"
"63" 9 7 "F"
"64" 3 4 "F"
"65" 2 1 "F"
"66" 10 2 "F"
"67" 10 9 "F"
"68" 10 9 "F"
"69" 10 9 "F"
"70" 10 6 "F"
"71" 10 9 "F"
"72" 8 9 "F"
"73" 8 9 "F"
"74" 8 5 "F"
"75" 7 7 "F"
"76" 7 6 "F"
"77" 8 9 "F"
"78" 8 7 "F"
"79" 9 6 "F"
"80" 6 3 "F"
"81" 6 3 "F"
"82" 5 2 "F"
"83" 5 2 "F"
"84" 9 9 "F"
"85" 8 7 "F"
"86" 9 8 "F"
"87" 4 3 "F"
"88" 6 3 "F"
"89" 6 7 "F"
