"L" "a" "b" "Weight" "Diam" "Maturity" "Variety"
"1" 64.15 -6.78 42.43 0.048 0.036925 "1" "A"
"2" 58.15 -13.2 39.15 0.0402 0.036925 "1" "A"
"3" 60.99 -6.71 36.84 0.042 0.035425 "1" "A"
"4" 56.41 5.43 34.76 0.0474 0.037463 "1" "A"
"5" 59.7 -12.31 40.29 0.0352 0.033862 "1" "A"
"6" 58.76 -9.25 35.81 0.0605 0.0416 "1" "A"
"7" 63.77 -8.83 38.51 0.0667 0.040775 "1" "A"
"8" 54.28 0.78 35.56 0.0441 0.035287 "1" "A"
"9" 55.53 13.88 34.01 0.0445 0.0381 "1" "A"
"10" 58.68 15.04 37.12 0.0436 0.037588 "1" "A"
"11" 56.52 5.49 33.66 0.0488 0.038 "1" "A"
"12" 63.08 9.64 41.51 0.0524 0.038825 "1" "A"
"13" 57.28 -7.25 35.5 0.0361 0.034263 "1" "A"
"14" 54.95 3.58 33.77 0.0364 0.034625 "1" "A"
"15" 64.14 -8.62 41.46 0.0543 0.04005 "1" "A"
"16" 62.38 -9.73 37.47 0.0516 0.03835 "1" "A"
"17" 60.76 -11.41 37.49 0.0419 0.036288 "1" "A"
"18" 60.52 -6.04 39.1 0.0411 0.036475 "1" "A"
"19" 59.43 -9.74 37.36 0.0431 0.037975 "1" "A"
"20" 61.5 -8.73 36.91 0.0477 0.037575 "1" "A"
"21" 61.28 -10.04 38.75 0.0518 0.037538 "1" "A"
"22" 59.2 -9.73 38.7 0.0365 0.035237 "1" "A"
"23" 55.12 20.74 36.19 0.0402 0.036562 "1" "A"
"24" 50.92 21.19 32.3 0.0446 0.036487 "1" "A"
"25" 62.15 1.88 40.93 0.0439 0.0377 "1" "A"
"26" 62.82 -8.96 39.11 0.0541 0.040888 "1" "A"
"27" 62.97 -11.59 38.38 0.042 0.035525 "1" "A"
"28" 62.45 -2.19 40.53 0.036 0.034763 "1" "A"
"29" 60.01 -11.38 37.2 0.0427 0.037512 "1" "A"
"30" 67.37 -6.9 38.29 0.0552 0.039038 "1" "A"
"31" 60.63 -6.11 37.63 0.0452 0.036562 "1" "A"
"32" 61.84 -11.36 36.75 0.0456 0.037463 "1" "A"
"33" 57.57 19.26 49.27 0.0598 0.043413 "2" "B"
"34" 63.71 16.57 53.36 0.0889 0.0461 "2" "B"
"35" 57.5 15.04 47.97 0.042 0.038137 "2" "B"
"36" 54.56 20.81 46.35 0.0486 0.039488 "2" "B"
"37" 56.41 14.14 47.64 0.0556 0.0416 "2" "B"
"38" 60.15 15.61 50 0.0497 0.040325 "2" "B"
"39" 54.15 21.24 44.24 0.0643 0.04405 "2" "B"
"40" 59.64 16.93 51.07 0.0641 0.0446 "2" "B"
"41" 61.55 13.69 49.36 0.0784 0.047325 "2" "B"
"42" 56.1 5.85 43.45 0.0485 0.040388 "2" "B"
"43" 59.97 16.92 48.73 0.0604 0.042138 "2" "B"
"44" 58.34 11.9 48.03 0.0541 0.041775 "2" "B"
"45" 59.38 19.36 46.67 0.0587 0.043475 "2" "B"
"46" 57.88 18.42 49.28 0.0595 0.043663 "2" "B"
"47" 56.78 16.82 47.62 0.0563 0.042787 "2" "B"
"48" 62.84 19.81 50.21 0.0823 0.048575 "2" "B"
"49" 59.74 18.23 50.72 0.0667 0.044937 "2" "B"
"50" 59.48 15.14 51.98 0.0544 0.042375 "2" "B"
"51" 62.64 12.88 50.17 0.0657 0.044275 "2" "B"
"52" 61.9 17.04 50.68 0.067 0.0457 "2" "B"
"53" 61.13 19.34 51.68 0.068 0.044825 "2" "B"
"54" 58.35 20.94 50.99 0.0621 0.043338 "2" "B"
"55" 59.55 19.65 47.67 0.071 0.045762 "2" "B"
"56" 58.28 18.87 48.27 0.0577 0.042638 "2" "B"
"57" 60.44 17.76 49.69 0.0552 0.04285 "2" "B"
"58" 59.35 11.93 47.89 0.0738 0.047387 "2" "B"
"59" 56.25 16.97 41.87 0.0828 0.0477 "2" "B"
"60" 62.45 21.62 53.19 0.0805 0.048787 "2" "B"
"61" 60.78 22.67 52.56 0.0668 0.0444 "2" "B"
"62" 59.52 20.27 51.75 0.0704 0.045275 "2" "B"
"63" 59.98 17.34 50.95 0.0631 0.044125 "2" "B"
"64" 62.83 18.29 48.16 0.0623 0.042487 "2" "B"
"65" 56.64 8.4 45.55 0.0537 0.041075 "2" "B"
"66" 59.91 6.9 45 0.0752 0.047888 "2" "B"
"67" 58.6 9.76 47.25 0.0681 0.045363 "2" "B"
"68" 56.31 8.86 44.73 0.0554 0.042188 "2" "B"
"69" 55.51 16.54 48.88 0.0588 0.043037 "2" "B"
"70" 58.14 18.23 50.77 0.0471 0.039975 "2" "B"
"71" 60.49 15.27 45.68 0.0623 0.0452 "2" "B"
"72" 63.36 8.82 46.47 0.0533 0.043013 "1" "B"
"73" 62.88 10.33 49.36 0.0501 0.041313 "1" "B"
"74" 62.25 -7.7 45.84 0.0763 0.047438 "1" "B"
"75" 65.26 7.67 51.16 0.0722 0.048625 "1" "B"
"76" 64.36 2.2 51.51 0.0754 0.04825 "1" "B"
"77" 62.8 4.25 47.3 0.0523 0.041537 "1" "B"
"78" 63.89 2.4 47.06 0.0506 0.041987 "1" "B"
"79" 62.78 4 46.98 0.0579 0.043825 "1" "B"
"80" 62.48 -3.82 48.21 0.0684 0.046137 "1" "B"
"81" 64.56 -2.2 52.16 0.0643 0.045937 "1" "B"
"82" 59.48 -1.35 40.3 0.0466 0.040775 "1" "B"
"83" 59.31 6.05 43.41 0.0589 0.044062 "1" "B"
"84" 62.65 10.11 48.23 0.0531 0.043162 "1" "B"
"85" 62.4 3.33 47.59 0.0758 0.048925 "1" "B"
"86" 61.37 -1.56 43.93 0.0515 0.041263 "1" "B"
"87" 63.08 10.63 52.1 0.0967 0.053738 "1" "B"
"88" 65.02 6.48 50.68 0.0526 0.0418 "1" "B"
"89" 63.93 6.03 49.95 0.0755 0.046012 "1" "B"
"90" 63.44 3.22 49.25 0.0722 0.045825 "1" "B"
"91" 58.81 -1.34 42.86 0.0548 0.043312 "1" "B"
"92" 59.06 -4.24 42.98 0.0601 0.044463 "1" "B"
"93" 56.94 -6.07 40.53 0.0652 0.046325 "1" "B"
"94" 60.4 -1.36 45.69 0.0634 0.045325 "1" "B"
"95" 63.36 -4.85 47.57 0.0683 0.045562 "1" "B"
"96" 64.04 2.24 46.76 0.0595 0.04325 "1" "B"
"97" 66.48 3.27 51.25 0.0671 0.045425 "1" "B"
"98" 63.91 3.18 47.71 0.0735 0.04625 "1" "B"
"99" 66.21 4.01 54.26 0.0745 0.048375 "1" "B"
"100" 64.58 4.13 51.23 0.0679 0.0454 "1" "B"
"101" 63.32 -0.25 48.47 0.0748 0.049388 "1" "B"
"102" 63.08 3.59 48.88 0.0676 0.0451 "1" "B"
"103" 63.39 0.28 47.56 0.0551 0.04265 "1" "B"
"104" 62.79 -1.68 49.48 0.0657 0.046663 "1" "B"
"105" 63.62 1.4 50.39 0.0773 0.047488 "1" "B"
"106" 63.42 -1.82 48.66 0.0666 0.04435 "1" "B"
"107" 63.75 3.21 51.22 0.0615 0.045062 "1" "B"
"108" 65.36 0.49 48.17 0.084 0.050862 "1" "B"
"109" 60.39 -7.13 46.39 0.0565 0.042513 "1" "B"
"110" 64.58 2.55 47.72 0.0629 0.044612 "1" "B"
"111" 62.21 1.22 47.72 0.0597 0.045125 "1" "B"
"112" 65.81 -1.13 29.77 0.0778 0.048912 "2" "C"
"113" 76.33 -1.39 35.21 0.0634 0.044187 "2" "C"
"114" 71.34 -5.25 41.59 0.0618 0.043812 "2" "C"
"115" 75.81 -3.8 44.67 0.0738 0.046738 "2" "C"
"116" 73.09 -4.77 41.04 0.089 0.050287 "2" "C"
"117" 71.5 1.02 36.05 0.1039 0.053962 "2" "C"
"118" 73.34 -4.38 37.91 0.0856 0.048813 "2" "C"
"119" 72.77 -0.16 40.13 0.0743 0.047275 "2" "C"
"120" 75.38 -2.49 33.46 0.091 0.049975 "2" "C"
"121" 75.36 -3.68 37.15 0.0642 0.045875 "2" "C"
"122" 75.37 -5.24 36.85 0.0776 0.047662 "2" "C"
"123" 70.2 -3.84 38.88 0.0761 0.048 "2" "C"
"124" 61.95 -1.43 25.25 0.0749 0.046525 "2" "C"
"125" 75.97 -5.84 37.13 0.0733 0.04825 "2" "C"
"126" 70.98 1.55 32.16 0.0602 0.043088 "2" "C"
"127" 76.12 -3.46 37.2 0.091 0.050537 "2" "C"
"128" 74.61 -5.58 34.94 0.078 0.048763 "2" "C"
"129" 78.15 -6.07 38.11 0.0773 0.048825 "2" "C"
"130" 78.87 -7.23 35.61 0.0757 0.047725 "2" "C"
"131" 60.7 -0.54 26.44 0.0672 0.04525 "2" "C"
"132" 74.65 0.55 41.22 0.0638 0.044175 "2" "C"
"133" 76.12 -6.32 41.45 0.0698 0.046587 "2" "C"
"134" 78.26 -3.06 35.65 0.0761 0.048712 "2" "C"
"135" 78.29 -2.27 36.43 0.0604 0.044075 "2" "C"
"136" 75.77 -2.93 31.19 0.0776 0.047888 "2" "C"
"137" 76.73 -1.03 38.74 0.0732 0.046525 "2" "C"
"138" 73.99 -2.3 35.21 0.0606 0.043725 "2" "C"
"139" 78.3 -5.26 37.56 0.0621 0.04425 "2" "C"
"140" 76.9 -4.99 34.72 0.0848 0.050438 "2" "C"
"141" 75.13 -4.85 35.3 0.0836 0.0499 "2" "C"
"142" 75.75 -4.31 36.96 0.0738 0.047637 "2" "C"
"143" 77.18 -2.68 36.57 0.0695 0.047613 "2" "C"
"144" 76.82 -4.76 36.1 0.0832 0.05115 "2" "C"
"145" 75.59 -4.31 35.55 0.0681 0.04665 "2" "C"
"146" 75.33 -2.86 39.9 0.0843 0.050575 "2" "C"
"147" 75.91 -5.56 39.57 0.0741 0.048138 "2" "C"
"148" 78.57 -2.45 40.86 0.0762 0.048025 "2" "C"
"149" 75.15 -0.02 44.29 0.0799 0.049463 "2" "C"
"150" 76.85 -2.53 41.93 0.0702 0.046175 "2" "C"
"151" 78.6 -5.13 42.28 0.071 0.047425 "2" "C"
"152" 72.86 -9.65 35.83 0.0776 0.051 "1" "C"
"153" 72.71 -7.12 35.11 0.0623 0.04535 "1" "C"
"154" 66.87 -8.71 32.89 0.0603 0.045225 "1" "C"
"155" 74.09 -8.97 34.33 0.0586 0.04485 "1" "C"
"156" 71.2 -9.26 35.56 0.0526 0.043388 "1" "C"
"157" 70.26 -10.65 36 0.067 0.047613 "1" "C"
"158" 71.6 -8.47 34.71 0.0558 0.045175 "1" "C"
"159" 70.88 -8.72 34.02 0.0653 0.048162 "1" "C"
"160" 70.14 -9.25 31.31 0.0517 0.043463 "1" "C"
"161" 70.62 -8.85 36.86 0.0579 0.045262 "1" "C"
"162" 71.96 -8.45 38.27 0.0651 0.04615 "1" "C"
"163" 73.45 -7.43 37.4 0.0839 0.051562 "1" "C"
"164" 71.15 -8.29 40.69 0.0473 0.042287 "1" "C"
