"Groupe"	"Rendement"	"DensitePDIE"	"DensitePDIN"	"DensiteUFL"	"EnsilageHerbe"	"EnsilageMais"	"Foin"	"Fibro"	"Base"	"CLysine"	"Cmethionine"	"ApportLysine"	"ApportMethionine"	"MStotale"	"NoteIngestion"	"ETroupeauLB"	"ETroupeauTP"	"DeltaLB"	"StadeLactation"	"TPinitial"
"1290"	"methionine"	0	50	52	0.91	59.7	0	40.3	31.6	0	45.2	44.2	6.9	1.86	18.1	8	5945	28.79	2.335	145.4	31.595
"4102"	"temoin"	0	58	59	0.91	53.8	0	46.2	31.2	0	49.1	49	6.76	1.82	18.9	13	7225	30.79	-0.038095238	171.8095238	31.6
"6511"	"temoin"	0	109	119	0.9	54.9	0	0	13.7	73.1	21.7	21.7	6.79	1.9	16.7	18	5714	32.47	2.215789474	172.8421053	35.97368421
"3192"	"methionine"	0	58	64	0.87	75.2	0	24.8	27.2	28.3	44.8	45.6	6.87	1.88	17.2	14	6638	31.47	0.178947368	165.9210526	33.41578947
"6466"	"temoin"	0	51	49	0.85	27.3	0	27.3	23.3	100	31.3	31.3	6.97	1.89	14.3	13	4750	28.59	2.236363636	158.5454545	29.32727273
"2919"	"methionine"	0	66	67	0.8	51.7	0	48.3	22.2	100	29.5	31	6.71	1.92	18.6	11	6064	28.89	1.527272727	175.5454545	30.96363636
"4785"	"temoin"	0	64	74	0.92	86.2	0	13.8	30.7	100	49.9	48.5	6.99	1.76	20.9	16	5834	31.39	2.27	83.6	30.23
"8992"	"temoin"	1	69	65	0.88	48.3	0	51.7	24.7	81.5	36.4	38	6.87	1.9	19.3	9	5968	30.49	3	103.2142857	29.35714286
"9111"	"methionine"	0	69	76	0.95	79.3	10.3	10.3	27.7	55.6	51.6	50	6.9	1.82	20	15	8140	30.29	0.505263158	94.42105263	28.89473684
"1141"	"methionine"	0	75	81	0.88	7.7	23.1	23.1	19.2	85.7	27	26.8	6.8	1.87	16.1	11	5921	29.69	4.320833333	180.7083333	31.59166667
"6123"	"methionine"	0	68	64	0.92	57.1	35.7	7.1	24.6	0	41.3	42.4	6.79	1.9	18.6	15	7401	30.89	1.581818182	103.9545455	32.43181818
"5946"	"temoin"	0	76	80	0.92	43.3	43.3	13.3	24.7	53.6	40.1	39.8	6.79	1.81	19.9	7	6501	30.19	2.13	122.8	31.445
"4212"	"methionine"	0	61	70	0.92	56.1	43.9	0	25.7	59.6	44	40.4	6.88	1.83	17.8	10	7345	30.59	1.770588235	174.2352941	32.27647059
"1410"	"methionine"	1	94	97	0.9	49	45.8	5.2	19.8	30.2	44.2	43.4	6.98	1.91	19.1	11	8083	31.19	4.583333333	162.1666667	32.11666667
"3208"	"methionine"	1	61	60	0.93	37	48.1	14.8	25.3	80.8	38.6	40.1	6.7	1.91	18.1	14	7682	33.17	6.24	81.8	31.4
"4180"	"methionine"	1	82	80	0.91	19.4	52.8	27.8	27.6	80.8	41.5	41	6.84	1.83	24.9	18	7679	32.59	-3.081818182	202.1818182	32.01818182
"1014"	"temoin"	0	108	110	0.95	24.2	54.5	21.2	19.4	22.2	40.2	37.2	6.86	1.77	20.5	14	7517	30.29	-2.08	162.2	33.31666667
"6463"	"temoin"	0	97	95	0.93	27.6	55.2	17.2	20.3	0	45.4	42.1	6.91	1.85	18.2	14	6507	32.57	0.766666667	140.6296296	33.32222222
"4849"	"methionine"	0	80	87	0.93	31	55.2	13.8	21.1	100	44.5	39.7	6.99	1.79	18.4	11	7288	30.39	0.485714286	214.5714286	35.12142857
"9182"	"temoin"	0	95	87	0.87	26	55.2	18.8	20.5	22.2	36.4	38.4	6.66	1.86	19.4	20	7371	31.87	0.345	126.8	33.03
"3680"	"methionine"	1	95	99	0.91	0	56.3	6.3	20.2	100	36.8	33.6	6.84	1.85	20	9	7654	30.19	3.764705882	186.4117647	32.18235294
"4259"	"methionine"	0	98	99	0.9	28.6	57.1	14.3	16.3	0	33.5	31.3	6.83	1.88	16.7	14	5834	29.89	0.869444444	109.8055556	32.00277778
"8149"	"temoin"	0	87	92	0.93	30.7	57.1	12.3	22.6	100	43.8	39.5	6.98	1.8	21.1	14	7218	31.19	3.923529412	229.1176471	33.03529412
"2390"	"methionine"	1	61	64	0.97	33.3	59.3	7.4	33.1	13.2	54.2	53.6	6.83	1.85	20.2	14	7397	31.79	2.538888889	135.7777778	33.83888889
"5593"	"temoin"	1	65	65	0.92	33.8	60.8	5.4	30.6	20.3	51.1	50.7	6.89	1.91	21.3	15	8755	31.79	1.873684211	201.4736842	34.5
"1851"	"temoin"	0	78	76	0.92	32.3	61.3	6.5	21.4	62.5	36.8	33.9	6.96	1.86	19.7	13	7835	32.39	4.223809524	146.4761905	33.75238095
"5655"	"temoin"	0	86	94	0.92	25.8	61.3	12.9	21.3	100	43.7	39.9	6.97	1.83	19.7	7	5367	31.09	4.784615385	185.1153846	32.5
"6863"	"methionine"	0	92	88	0.89	0	61.5	38.5	15.5	100	33.4	30.2	6.9	1.84	15.4	10	4572	30.49	0.507142857	151.8571429	33.35
"9593"	"methionine"	1	74	77	0.91	31	62.1	6.9	23.3	20	41.4	40.8	6.83	1.91	18.9	16	7969	31.99	-0.543589744	151.9487179	32.61025641
"2700"	"temoin"	0	63	60	0.97	20.7	65.5	13.8	31	68.9	46.8	46.6	6.87	1.93	21	18	7202	31.89	1.55	98.08333333	31.74166667
"4851"	"methionine"	0	83	94	0.95	0	65.7	23.8	24.9	9.3	46.7	45.4	6.76	1.82	19.1	13	8415	30.29	3.43255814	155.4186047	32.7627907
"7700"	"methionine"	0	79	71	0.92	26.7	66.7	6.7	23.7	60.4	45.1	43	6.91	1.86	19.7	12	8184	31.79	2.338095238	180.1904762	35.4
"8842"	"temoin"	0	85	92	0.9	33.3	66.7	0	17.8	67.6	32.6	31.8	6.88	1.86	18.3	12	7575	31.09	1.725	157.6875	34.28125
"6200"	"temoin"	0	64	70	0.95	0	66.7	18.5	29.8	55.4	47.6	47.7	6.78	1.89	19.2	11	6032	30.39	-0.269230769	204.7692308	33.98461539
"2520"	"temoin"	0	83	79	0.95	20	66.7	13.3	19.4	53.7	33.9	31.3	6.88	1.86	18.6	18	6272	30.39	-0.1	144.1052632	30.51578947
"9725"	"temoin"	0	95	102	0.91	12.9	67.7	19.4	21.4	20.8	45.4	41.5	6.88	1.77	19.7	20	8521	31.49	1.470588235	167.0588235	33.51764706
"2009"	"methionine"	1	69	74	0.96	25	67.9	7.1	29	76.9	52.5	49	6.9	1.8	19.7	15	7325	31.89	2.561538462	191.3846154	32.7
"9922"	"temoin"	0	86	84	0.93	12.7	69.6	17.7	25.4	39.3	48.4	46.4	6.84	1.85	21.2	15	8088	31.69	1.9	124.5714286	32.35714286
"5235"	"temoin"	0	63	67	0.95	28.6	71.4	0	29	69.2	50.3	50.6	6.86	1.95	19.7	9	7483	30.39	1.94	164.15	34.685
"3860"	"methionine"	0	74	73	0.94	14.3	71.4	14.3	25	0	44.9	42.5	6.86	1.82	18.7	8	7054	30.19	2	111.6315789	32.18947368
