"LMP" "VFAT" "BFAT" "BMUSCLE" "SEX" "GENET"
"1" 58.87788954 14.13 14.835 56.16 "M" "P50"
"6" 52.79359378 21.715 17.275 51.035 "M" "P0"
"7" 59.24530168 16.335 12.585 58.905 "F" "P0"
"9" 55.32585521 22.06 18.43 63.165 "F" "P0"
"16" 64.39372467 13.83 13.14 59.025 "F" "P0"
"19" 55.70714847 21.23 22.195 57.12 "M" "P25"
"24" 62.80111953 14.845 9.725 56.255 "F" NA
"28" 61.04939014 15.29 12.035 69.395 "M" "P25"
"31" 59.54236676 16.375 15.44 61.22 "F" "P0"
"33" 58.85063163 18.945 12.225 69.25 "F" "P50"
"38" 58.74746474 15.15 13.935 53.13 "M" "P50"
"40" 61.95738297 15.415 12.255 58.32 "F" "P0"
"43" 61.92183658 17.27 10.81 57.665 "M" "P25"
"50" 59.01416639 16.86 14.42 70.14 "M" "P25"
"51" 61.16299559 15.33 13.235 64.225 "F" "P50"
"55" 58.70003454 16.23 11.115 56.31 "M" "P50"
"57" 65.77105775 11.64 9.965 60.375 "F" "P50"
"60" 64.65522442 13.46 10.6 59.73 "M" "P0"
"67" 58.13367675 18.73 16.59 66.095 "F" "P0"
"72" 60.65318173 14.45 13.635 66.615 "F" "P50"
"76" 59.81174408 14.78 14.64 72.56 "M" "P50"
"78" 58.51520203 16.65 14.18 62.92 "F" "P0"
"83" 62.55070423 12.285 9.42 60.47 "F" "P50"
"86" 60.81304701 18.03 16.03 60.735 "M" "P0"
"91" 65.41415501 13.33 9.285 68.335 "F" "P25"
"94" 59.87331753 15.335 11.36 63.72 "F" "P25"
"103" 59.87094284 16.495 11.29 53.18 "F" "P25"
"104" 59.68235294 13.69 13.38 63.185 "F" "P0"
"105" 56.82030618 16.86 11.685 57.285 "M" "P50"
"122" 57.47960671 15.66 15.675 48.105 "M" "P0"
"123" 59.88226625 19.38 16.705 67.405 "M" "P50"
"145" 55.19348041 16.785 16.535 56.895 "M" "P50"
"146" 59.36181008 17.23 14.045 61.315 "F" "P50"
"160" 60.83499165 13.605 10.85 60.135 "M" "P25"
"164" 66.29748167 10.625 8.06 67.72 "F" "P25"
"172" 57.0997346 22.305 17.83 66.295 "F" "P25"
"178" 58.85915493 19.125 15.29 67.755 "F" "P25"
"183" 48.61529673 23.83 17.55 58.84 "M" "P0"
"187" 52.71959448 18.34 18.31 55.1 "M" "P25"
"196" 61.47467983 14.675 12.815 66.04 "F" "P25"
"200" 56.1389023 15.16 13.34 56.065 "M" "P25"
"208" 54.60512351 23.135 17.775 61.755 "M" "P25"
"211" 64.50631415 9.16 7.005 67.295 "F" "P25"
"216" 60.73123909 15.06 11.585 61.37 "F" "P25"
"222" 60.93320889 12.97 12.035 69.56 "M" "P25"
"223" 63.62506879 13.52 10.17 63.67 "F" "P25"
"225" 57.93161938 20.38 15.085 64.175 "M" "P25"
"248" 51.04676001 22.56 20.17 60.13 "M" "P0"
"249" 59.58511304 16.55 14.17 64.065 "F" "P0"
"260" 61.25087422 13.93 10.245 57.785 "F" "P50"
"272" 61.00079988 14.62 10.855 62.69 "F" "P50"
"282" 56.54337369 20.52 14.27 59.57 "F" "P25"
"285" 55.45019552 17.98 13.185 59.23 "M" "P25"
"302" 62.52838671 13.1 8.95 53.02 "F" "P25"
"309" 61.03045617 14.79 12.835 57.81 "M" "P50"
"321" 58.1190868 19.27 17.14 65.755 "M" "P50"
"329" 61.22959459 16.835 12.505 65.955 "M" "P50"
"333" 60.80683024 13.975 9.73 69.875 "F" "P50"
"344" 60.77930234 13.7 9.84 58.78 "M" "P50"
"345" 60.157318 18.68 15.16 67.46 "F" "P50"
