"Annee" "Specialites" "Genre"
"1" "2022" "MATHS/PC" "Masculin"
"2" "2022" "MATHS/SVT" "Masculin"
"3" "2022" "MATHS/PC" "Masculin"
"4" "2022" "PC/SVT" "Masculin"
"5" "2022" "PC/SVT" "Féminin"
"6" "2022" "PC/SVT" "Féminin"
"7" "2022" "PC/SVT" "Masculin"
"8" "2022" "MATHS/SVT" "Masculin"
"9" "2022" "MATHS/SVT" "Féminin"
"10" "2022" "MATHS/PC" "Féminin"
"11" "2022" "MATHS/SVT" "Masculin"
"12" "2022" "MATHS/SVT" "Féminin"
"13" "2022" "MATHS/PC" "Féminin"
"14" "2022" "MATHS/PC" "Féminin"
"15" "2022" "PC/SVT" "Féminin"
"16" "2022" "MATHS/SVT" "Féminin"
"17" "2022" "PC/SVT" "Féminin"
"18" "2022" "MATHS/SVT" "Masculin"
"19" "2022" "PC/SVT" "Féminin"
"20" "2022" "Autres" "Féminin"
"21" "2022" "PC/SVT" "Féminin"
"22" "2022" "MATHS/SVT" "Féminin"
"23" "2022" "PC/SVT" "Masculin"
"24" "2022" "PC/SVT" "Féminin"
"25" "2022" "MATHS/PC" "Féminin"
"26" "2022" "PC/SVT" "Féminin"
"27" "2022" "PC/SVT" "Féminin"
"28" "2022" "MATHS/PC" "Féminin"
"29" "2022" "MATHS/PC" "Féminin"
"30" "2022" "MATHS/SVT" "Masculin"
"31" "2022" "MATHS/PC" "Féminin"
"32" "2022" "PC/SVT" "Masculin"
"33" "2022" "Autres" "Féminin"
"34" "2022" "PC/SVT" "Féminin"
"35" "2022" "MATHS/PC" "Féminin"
"36" "2022" "MATHS/SVT" "Masculin"
"37" "2022" "PC/SVT" "Féminin"
"38" "2022" "PC/SVT" "Féminin"
"39" "2022" "PC/SVT" "Masculin"
"40" "2022" "PC/SVT" "Féminin"
"41" "2022" "PC/SVT" "Masculin"
"42" "2022" "MATHS/SVT" "Féminin"
"43" "2022" "PC/SVT" "Masculin"
"44" "2022" "PC/SVT" "Féminin"
"45" "2022" "MATHS/PC" "Féminin"
"46" "2022" "PC/SVT" "Masculin"
"47" "2022" "MATHS/PC" "Féminin"
"48" "2022" "MATHS/PC" "Féminin"
"49" "2022" "PC/SVT" "Féminin"
"50" "2022" "PC/SVT" "Féminin"
"51" "2022" "PC/SVT" "Féminin"
"52" "2022" "MATHS/PC" "Féminin"
"53" "2022" "MATHS/PC" "Féminin"
"54" "2022" "MATHS/PC" "Masculin"
"55" "2022" "PC/SVT" "Masculin"
"56" "2022" "PC/SVT" "Féminin"
"57" "2022" "MATHS/PC" "Masculin"
"58" "2022" "PC/SVT" "Masculin"
"59" "2022" "PC/SVT" "Féminin"
"60" "2022" "PC/SVT" "Féminin"
"61" "2022" "MATHS/SVT" "Féminin"
"62" "2022" "MATHS/PC" "Masculin"
"63" "2022" "MATHS/PC" "Masculin"
"64" "2022" "PC/SVT" "Féminin"
"65" "2022" "MATHS/PC" "Masculin"
"66" "2022" "MATHS/PC" "Masculin"
"67" "2022" "PC/SVT" "Féminin"
"68" "2022" "MATHS/SVT" "Masculin"
"69" "2022" "MATHS/SVT" "Masculin"
"70" "2022" "PC/SVT" "Féminin"
"71" "2022" "PC/SVT" "Féminin"
"72" "2022" "MATHS/PC" "Féminin"
"73" "2022" "PC/SVT" "Masculin"
"74" "2022" "MATHS/SVT" "Féminin"
"75" "2022" "MATHS/PC" "Féminin"
"76" "2022" "PC/SVT" "Féminin"
"77" "2022" "MATHS/PC" "Féminin"
"78" "2022" "PC/SVT" "Masculin"
"79" "2022" "MATHS/PC" "Féminin"
"80" "2022" "PC/SVT" "Féminin"
"81" "2022" "PC/SVT" "Féminin"
"82" "2022" "MATHS/PC" "Féminin"
