"Genre" "TypeFormation" "AnnéeFormation" "Statut" "Ecole" "Campus" "Implantation" "Accueil" "Qualité formation" "Hébergement" "Centre doc." "Eq. sportifs" "Vie campus" "Cadre de vie" "Sécurité" "Cond. vie générale"
"22" "Femme" "Ingénieur" "Césure" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Insatisfait" "Très satisfait" "Satisfait"
"23" "Femme" "Ingénieur" "L1" "Etudiant" "Rennes-Angers" "Angers" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"24" "Femme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"26" "Homme" "Ingénieur" "L3" "Apprenti" "Rennes-Angers" "Angers" "Très satisfait" "Très satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"27" "Femme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Très satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"28" "Homme" "Ingénieur" "Césure" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Satisfait" "Satisfait" "Insatisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Satisfait"
"29" "Homme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Très satisfait" "Satisfait"
"30" "Homme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Très satisfait"
"31" "Femme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait"
"32" "Femme" "Ingénieur" "M2" "Stagiaire FC" "Rennes-Angers" "Angers" "Satisfait" "Très satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"33" "Femme" "Ingénieur" "Césure" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"34" "Homme" "Ingénieur" "M2" "Apprenti" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"35" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Satisfait"
"36" "Homme" "Ingénieur" "Césure" "Etudiant" "Rennes-Angers" "Rennes" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Satisfait"
"37" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Peu satisfait" "Très satisfait" "Satisfait"
"39" "Homme" "Master" "M2" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Très satisfait" "Ne sais pas / non concerné" "Ne sais pas / non concerné" "Satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"40" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Peu satisfait" "Satisfait" "Ne sais pas / non concerné" "Peu satisfait" "Insatisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Peu satisfait"
"41" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Très satisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"42" "Homme" "Ingénieur" "M2" "Stagiaire FC" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"44" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Angers" "Très satisfait" "Très satisfait" "Très satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
