num;X;Y;Carbone;CE
1;405800;3755200;0,842;2,4
2;406000;3755200;1,284;1,84
3;406200;3755200;0,931;1,96
4;406400;3755200;0,992;2
5;406600;3755200;0,919;2
6;406800;3755200;0,712;2,1
7;407000;3755200;1,221;2,3
8;407200;3755200;1,049;2,1
9;407400;3755200;1,218;2
10;407600;3755200;1,213;4,93
11;407800;3755200;1,027;1,88
12;408000;3755200;0,934;1,92
13;408200;3755200;0,82;1,84
14;408400;3755200;0,833;1,92
15;408600;3755200;0,928;1,96
16;408800;3755200;1,077;2,24
17;408800;3755000;0,928;1,84
18;408800;3754800;1,217;0,47
19;408800;3754600;0,92;0,69
20;408800;3754400;0,456;0,31
21;408600;3754400;0,748;0,25
22;408600;3754600;1,042;0,96
23;408600;3754800;1,104;1,96
24;408600;3755000;0,933;1,72
25;408400;3755000;0,713;2,2
26;408400;3754800;0,666;0,54
27;408400;3754600;0,533;0,86
28;408400;3754400;0,813;1,56
29;408200;3754400;0,691;0,18
30;408200;3754600;0,734;1,88
31;408200;3754800;0,872;0,56
32;408200;3755000;0,986;2,1
33;408000;3755000;0,673;1,36
34;408000;3754800;0,891;0,66
35;408000;3754600;0,682;0,42
36;408000;3754400;0,66;0,13
37;407800;3754400;0,725;0,19
38;407800;3754600;0,915;1
39;407800;3754800;0,73;1,88
40;407800;3755000;2,387;2,2
41;407600;3755000;2,306;0,8
42;407600;3754800;0,968;1,52
43;407600;3754600;0,979;1,8
44;407600;3754400;0,497;0,33
45;407600;3754200;0,648;0,25
46;407800;3754200;0,415;0,14
47;408000;3754200;0,696;0,44
48;408200;3754200;0,805;2,1
49;408400;3754200;0,645;0,14
50;408600;3754200;0,8;0,13
51;408800;3754200;0,815;0,12
52;408800;3754000;1,31;2,31
53;408600;3754000;0,565;0,28
54;408400;3754000;0,386;0,27
55;408200;3754000;0,246;0,22
56;408000;3754000;0,831;0,16
57;407800;3754000;0,775;0,33
58;407600;3754000;0,818;0,17
59;407400;3754000;0,653;0,11
60;407400;3754200;0,482;0,1
61;407400;3754400;0,941;0,37
62;407400;3754600;0,96;1,72
63;407400;3754800;0,725;2
64;407400;3755000;1,241;1,9
65;406600;3755000;0,588;1,18
66;406600;3754800;0,98;0,92
67;406600;3754600;0,648;0,44
68;406600;3754400;0,582;0,13
69;406800;3754400;0,938;0,1
70;407000;3754400;0,765;0,26
71;407200;3754400;0,623;0,2
72;407200;3754200;0,435;0,16
73;407000;3754200;0,403;0,14
74;406800;3754200;0,664;0,16
75;406600;3754200;0,569;2,22
76;406600;3754000;0,272;0,14
77;406800;3754000;0,569;0,29
78;407000;3754000;0,608;0,17
79;407200;3754000;0,379;0,08
80;407200;3753800;0,698;0,17
81;407400;3753800;0,32;0,8
82;407600;3753800;0,677;0,14
83;407800;3753800;0,302;0,14
84;408000;3753800;0,287;0,12
85;408200;3753800;0,14;0,156
86;408400;3753800;0,286;0,13
87;408600;3753800;0,485;0,26
88;408800;3753800;0,344;0,21
89;408800;3753600;0,497;0,12
90;408600;3753600;0,504;0,31
91;408400;3753600;0,84;0,29
92;408200;3753600;0,123;0,084
93;408000;3753600;0,272;0,136
94;407800;3753600;0,197;0,78
95;407600;3753600;0,455;0,14
96;407400;3753600;0,298;0,126
97;407200;3753600;0,228;0,22
98;407000;3753600;0,877;0,78
99;406800;3753600;0,791;1,96
100;406600;3753600;0,624;0,23
101;406600;3753800;0,289;0,82
102;406800;3753800;0,594;0,14
103;407000;3753800;0,233;0,24
104;406400;3755000;0,789;1,6
105;406400;3754800;0,899;2
106;406400;3754600;0,759;2,24
107;406400;3754400;0,675;0,152
108;406400;3754200;0,547;2,31
109;406400;3754000;0,35;0,29
110;406400;3753800;0,662;0,96
111;406400;3753600;0,43;0,16
112;406200;3753600;0,144;0,14
113;406200;3753800;0,378;0,82
114;406200;3754000;0,406;1,16
115;406200;3754200;0,368;0,114
116;406200;3754400;0,665;0,3
117;406200;3754600;0,981;0,98
118;406200;3754800;0,807;0,49
119;406200;3755000;1,413;1,96
120;406000;3755000;1,571;2,2
121;406000;3754800;0,941;0,22
122;406000;3754600;0,567;0,36
123;406000;3754400;0,64;0,36
124;406000;3754200;0,44;0,176
125;406000;3754000;0,576;0,104
126;406000;3753800;0,263;0,326
127;406000;3753600;0,317;0,074
128;405800;3753600;0,295;0,1
129;405800;3753800;0,23;0,088
130;405800;3754000;0,326;0,22
131;405800;3754200;0,516;0,22
132;405800;3754400;0,342;0,24
133;405800;3754600;0,988;1,56
134;405800;3754800;0,851;1,84
135;405800;3755000;0,689;2,3
136;406800;3755000;0,554;1,48
137;407000;3755000;0,555;1,82
138;407200;3755000;1,028;1,8
139;407200;3754800;0,775;1,08
140;407000;3754800;0,246;0,7
141;406800;3754800;0,596;1,18
142;406800;3754600;0,921;1,8
143;407000;3754600;0,511;0,49
144;407200;3754600;0,446;0,288
