"Groupe"	"Race"	"Dose"	"logdose"	"Sporulations"	"PropSpo"
1	"S"	0.001	-6.9077552789821368	5	0.7142857142857143
2	"S"	0.001	-6.9077552789821368	6	0.8571428571428571
3	"S"	0.001	-6.9077552789821368	7	1
4	"S"	0.001	-6.9077552789821368	7	1
5	"S"	0.001	-6.9077552789821368	7	1
6	"S"	0.001	-6.9077552789821368	5	0.7142857142857143
7	"S"	0.02	-3.912023005428146	7	1
8	"S"	0.02	-3.912023005428146	7	1
9	"S"	0.02	-3.912023005428146	7	1
10	"S"	0.02	-3.912023005428146	6	0.8571428571428571
11	"S"	0.02	-3.912023005428146	7	1
12	"S"	0.02	-3.912023005428146	5	0.7142857142857143
13	"S"	0.02	-3.912023005428146	7	1
14	"S"	0.02	-3.912023005428146	7	1
15	"S"	0.20000000000000001	-1.6094379124341003	5	0.7142857142857143
16	"S"	0.20000000000000001	-1.6094379124341003	4	0.5714285714285714
17	"S"	0.20000000000000001	-1.6094379124341003	6	0.8571428571428571
18	"S"	0.20000000000000001	-1.6094379124341003	2	0.2857142857142857
19	"S"	0.20000000000000001	-1.6094379124341003	7	1
20	"S"	0.20000000000000001	-1.6094379124341003	7	1
21	"S"	0.20000000000000001	-1.6094379124341003	4	0.5714285714285714
22	"S"	0.20000000000000001	-1.6094379124341003	3	0.42857142857142855
23	"S"	2	0.69314718055994529	1	0.14285714285714285
24	"S"	2	0.69314718055994529	2	0.2857142857142857
25	"S"	2	0.69314718055994529	0	0
26	"S"	2	0.69314718055994529	1	0.14285714285714285
27	"S"	2	0.69314718055994529	1	0.14285714285714285
28	"S"	2	0.69314718055994529	0	0
29	"S"	2	0.69314718055994529	0	0
30	"S"	2	0.69314718055994529	1	0.14285714285714285
31	"S"	20	2.9957322735539909	0	0
32	"S"	20	2.9957322735539909	0	0
33	"S"	20	2.9957322735539909	0	0
34	"S"	20	2.9957322735539909	0	0
35	"S"	20	2.9957322735539909	0	0
36	"S"	20	2.9957322735539909	0	0
37	"S"	20	2.9957322735539909	0	0
38	"S"	20	2.9957322735539909	0	0
39	"S"	200	5.2983173665480363	0	0
40	"S"	200	5.2983173665480363	0	0
41	"S"	200	5.2983173665480363	0	0
42	"S"	200	5.2983173665480363	0	0
43	"S"	200	5.2983173665480363	0	0
44	"S"	200	5.2983173665480363	0	0
45	"S"	200	5.2983173665480363	0	0
46	"S"	200	5.2983173665480363	0	0
47	"S"	2000	7.6009024595420822	0	0
48	"S"	2000	7.6009024595420822	0	0
49	"S"	2000	7.6009024595420822	0	0
50	"S"	2000	7.6009024595420822	0	0
51	"S"	2000	7.6009024595420822	0	0
52	"S"	2000	7.6009024595420822	0	0
53	"S"	2000	7.6009024595420822	0	0
54	"S"	2000	7.6009024595420822	0	0
55	"R"	0.001	-6.9077552789821368	7	1
56	"R"	0.001	-6.9077552789821368	7	1
57	"R"	0.001	-6.9077552789821368	7	1
58	"R"	0.001	-6.9077552789821368	7	1
59	"R"	0.001	-6.9077552789821368	7	1
60	"R"	0.001	-6.9077552789821368	7	1
61	"R"	0.001	-6.9077552789821368	7	1
62	"R"	0.001	-6.9077552789821368	7	1
63	"R"	0.02	-3.912023005428146	7	1
64	"R"	0.02	-3.912023005428146	7	1
65	"R"	0.02	-3.912023005428146	7	1
66	"R"	0.02	-3.912023005428146	7	1
67	"R"	0.02	-3.912023005428146	7	1
68	"R"	0.02	-3.912023005428146	7	1
69	"R"	0.02	-3.912023005428146	7	1
70	"R"	0.02	-3.912023005428146	7	1
71	"R"	0.20000000000000001	-1.6094379124341003	7	1
72	"R"	0.20000000000000001	-1.6094379124341003	7	1
73	"R"	0.20000000000000001	-1.6094379124341003	7	1
74	"R"	0.20000000000000001	-1.6094379124341003	5	0.7142857142857143
75	"R"	0.20000000000000001	-1.6094379124341003	7	1
76	"R"	0.20000000000000001	-1.6094379124341003	7	1
77	"R"	0.20000000000000001	-1.6094379124341003	7	1
78	"R"	0.20000000000000001	-1.6094379124341003	7	1
79	"R"	2	0.69314718055994529	7	1
80	"R"	2	0.69314718055994529	7	1
81	"R"	2	0.69314718055994529	7	1
82	"R"	2	0.69314718055994529	7	1
83	"R"	2	0.69314718055994529	7	1
84	"R"	2	0.69314718055994529	7	1
85	"R"	2	0.69314718055994529	7	1
86	"R"	2	0.69314718055994529	7	1
87	"R"	20	2.9957322735539909	7	1
88	"R"	20	2.9957322735539909	7	1
89	"R"	20	2.9957322735539909	7	1
90	"R"	20	2.9957322735539909	6	0.8571428571428571
91	"R"	20	2.9957322735539909	7	1
92	"R"	20	2.9957322735539909	6	0.8571428571428571
93	"R"	20	2.9957322735539909	7	1
94	"R"	20	2.9957322735539909	7	1
95	"R"	200	5.2983173665480363	7	1
96	"R"	200	5.2983173665480363	7	1
97	"R"	200	5.2983173665480363	6	0.8571428571428571
98	"R"	200	5.2983173665480363	5	0.7142857142857143
99	"R"	200	5.2983173665480363	6	0.8571428571428571
100	"R"	2000	7.6009024595420822	7	1
101	"R"	2000	7.6009024595420822	1	0.14285714285714285
102	"R"	2000	7.6009024595420822	0	0
103	"R"	2000	7.6009024595420822	0	0
104	"R"	2000	7.6009024595420822	0	0
105	"R"	2000	7.6009024595420822	0	0
106	"R"	2000	7.6009024595420822	0	0
107	"R"	2000	7.6009024595420822	2	0.2857142857142857
108	"R"	2000	7.6009024595420822	2	0.2857142857142857
